"","species","phylum","group","common_name_division_bgr","intertidal","subtidal","feeding","macroalgae","erect_morphology_growth_form","foliose_morphology_growth_form","filamentous_morphology_growth_form","crustose_morphology_growth_form","globular_morphology_growth_form","leathery_external_morphology","articulated_external_morphology","branched_external_morphology","saccate_external_morphology","space_use_canopy","space_use_sub_canopy","space_use_turf","potential_asexual_reproduction","maximun_longevity","size_categories","epilithic_use_space","epiphytic_env_position","epizoic_env_position","epibiotic_env_position"
"27","Halosiphon tomentosus","Ochrophyta","Algae","Brown Algae","no","yes","autotroph","yes","yes","no","yes","no","no","no","no","yes","no","yes","yes","no ","yes","ephemeral (less than a year or annual)",">500 mm","yes","no","yes","yes"
"28","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","100-500 mm","yes","no","yes","yes"
"29","Laminaria digitata","Ochrophyta","Algae","Brown Algae","no","yes","autotroph","yes","yes","no","yes","no","no","yes","no","yes","no","yes","no ","yes","yes","perennial (one-ten years)",">500 mm","yes","yes","no","yes"
"30","Leathesia marina","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","no","no","no","no","yes","no","no","no","yes","no ","yes","no ","yes","ephemeral (less than a year or annual)","10-100 mm","yes","yes","no","yes"
"31","Leptophytum acervatum","Rhodophyta","Algae","Red Algae","no","yes","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","10-100 mm","yes","yes","no","yes"
"32","Lithophyllum ","Rhodophyta","Algae","Red Algae","no","yes","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","100-500 mm","yes","no","no","no"
"33","Lithothamnion","Rhodophyta","Algae","Red Algae","no","yes","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","100-500 mm","yes","no","no","no"
"34","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","no","yes","no","no","no","yes","no","no ","yes","no ","yes","perennial","100-500 mm","yes","yes","yes","yes"
"35","Palmaria palmata","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","yes","yes","no","no","no","no","no","yes","no","no ","yes","no ","no","perennial","100-500 mm","yes","yes","no","yes"
"36","Petalonia fascia","Ochrophyta","Algae","Brown Algae","yes","no","autotroph","yes","yes","yes","yes","yes","no","no","no","no","no","no ","yes","yes","yes","perennial","100-500 mm","yes","yes","no","yes"
"37","Phycodrys rubens","Rhodophyta","Algae","Red Algae","no","no","autotroph","yes","no","yes","yes","no","no","no","no","yes","no","no ","yes","no ","no","perennial","100-500 mm","yes","no","no","no"
"38","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","yes","no","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","10-100 mm","yes","yes","yes","yes"
"39","Plumaria plumosa","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","yes","no","no","no","no","yes","no","no ","no ","yes","yes","perennial","100-500 mm","yes","yes","no","yes"
"40","Polyides rotunda","Rhodophyta","Algae","Red Algae","no","no","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","no ","yes","no","perennial","100-500 mm","yes","no","no","no"
"41","Polysiphonia","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","yes","no","no","no","no","yes","no","yes","yes","yes","yes","perennial","100-500 mm","yes","yes","yes","yes"
"42","Porphyra","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","no ","yes","no","ephemeral (less than a year or annual)","100-500 mm","yes","yes","yes","yes"
"43","Prasiola stipitata","Chlorophyta","Algae","Green Algae","yes","no","autotroph","yes","no","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","ephemeral (less than a year or annual)","up to 10 mm","yes","no","no","no"
"44","Ptilota serrata","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","yes","no","no","no","no","yes","no","no ","yes","no ","no","perennial","100-500 mm","yes","yes","no","yes"
"45","Pylaiella littoralis","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","no","no","yes","no","no","no","no","yes","no","no ","yes","yes","no","ephemeral (less than a year or annual)","100-500 mm","yes","yes","yes","yes"
"46","Saccharina latissima","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","yes","no","no","yes","no","yes","no","yes","no ","yes","no","perennial",">500 mm","yes","yes","no","yes"
"47","Saccorhiza dermatodea","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","yes","no","no","no","no","yes","no","yes","no ","yes","no","ephemeral (less than a year or annual)",">500 mm","yes","yes","no","yes"
"48","Scytosiphon lomentaria","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","yes","yes","no","no","no","no","no","no ","yes","yes","yes","ephemeral (less than a year or annual)","100-500 mm","yes","yes","no","yes"
"49","Spermothamnion repens","Rhodophyta","Algae","Red Algae","no","no","autotroph","yes","no","no","yes","no","no","no","no","yes","no","no ","no ","yes","no","perennial","10-100 mm","yes","yes","yes","yes"
"50","Sphacelaria cirrosa","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","yes","no","no","no","no","yes","no","no ","no ","yes","yes","perennial","10-100 mm","yes","yes","no","yes"
"51","Spongomorpha aeruginosa","Chlorophyta","Algae","Green Algae","yes","no","autotroph","no","no","no","yes","no","no","no","no","yes","yes","no ","yes","no ","yes","ephemeral (less than a year or annual)","10-100 mm","yes","no","no","yes"
"52","Titanoderma","Rhodophyta","Algae","Red Algae","no","yes","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","10-100 mm","yes","yes","yes","yes"
"53","Ulva intestinalis","Chlorophyta","Algae","Green Algae","yes","no","autotroph","yes","no","yes","no","no","no","no","no","no","no","yes","yes","yes","yes","ephemeral (less than a year or annual)","100-500 mm","yes","yes","yes","yes"
"54","Ulva lactuca","Chlorophyta","Algae","Green Algae","yes","no","autotroph","yes","yes","yes","no","no","no","no","no","yes","no","yes","yes","yes","yes","perennial","100-500 mm","yes","yes","yes","yes"
"55","Vertebrata lanosa","Rhodophyta","Algae","Red Algae","yes","no","autotroph","yes","no","no","yes","no","no","no","no","yes","no","no ","yes","yes","no","perennial","10-100 mm","yes","yes","no","yes"
