"species","phylum","common_name_division","subtidal","intertidal","solitary_colonial","adult_body_size_bin","calcareous","motility_adult","herbivore","predator","omnivore","deposit_feeder","filter_suspension","scavenger","trophic_level","benthic","pelagic","epibiotic"
"Littorina obtusata","Mollusca","Gastropod","no","yes","solitary","SC1","yes","motile","yes","no","no","no","no","no","primary consumer","no","no","yes"
"Littorina saxatilis","Mollusca","Gastropod","no","yes","solitary","SC2","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","no"
"Nucella lapillus","Mollusca","Gastropod","no","yes","gregarious","SC2","yes","motile","no","yes","no","no","no","no","secondary consumer","no","no","yes"
"Nudibranchia","Mollusca","Gastropod","yes","yes","solitary","SC1","no","motile","no","yes","no","no","no","no","secondary consumer","yes","no","no"
"Ophiopholis aculeata","Echinodermata","Echinoderm","yes","no","solitary","SC2","yes","motile","no","yes","no","no","no","yes","secondary consumer","yes","no","no"
"Pagurus acadianus","Arthropoda","Crustacean","no","yes","solitary","SC2","yes","motile","no","no","yes","no","no","yes","secondary consumer","yes","no","no"
"Spirorbis","Annelida","Annelid worm","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","no","no","yes"
"Strongylocentrotus droebachiensis","Echinodermata","Echinoderm","yes","yes","gregarious","SC2","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","yes"
"Boreochiton ruber","Mollusca","Chiton","yes","no","solitary","SC1","yes","motile","yes","no","no","no","no","no","primary consumer","yes","no","yes"
"Tunicate","Tunicata","Tunicate",NA,NA,"gregarious","SC2","no","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
