"year","transect","position","species","group","common_name_division_bgr","body_size_avg_bin","calcareous","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","intertidal","subtidal"
1984,10,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,10,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,10,"exposed","Cryptosula pallasiana","Invertebrate","Bryozoan","medium-large","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,11,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,13,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,13,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,15,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,15,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,18,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,18,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,18,"exposed","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,20,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,20,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,22,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,22,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,24,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,24,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,26,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,26,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,28,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1984,28,"sheltered","Halichondria panicea","Invertebrate","Sponge","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
1984,28,"sheltered","Metridium dianthus","Invertebrate","Anemone","small-medium","no","predator","secondary consumer","motile","sessile","yes","yes","yes","no"
1984,28,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,28,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1984,28,"sheltered","Anomia simplex","Invertebrate","Bivalve","small","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
1985,1,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,1,"sheltered","Cryptosula pallasiana","Invertebrate","Bryozoan","medium-large","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,2,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,5,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,5,"sheltered","Metridium dianthus","Invertebrate","Anemone","small-medium","no","predator","secondary consumer","motile","sessile","yes","yes","yes","no"
1985,5,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,7,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,7,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,8,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,8,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,13,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,13,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,14,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,14,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,14,"exposed","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,17,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,17,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,18,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,18,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,19,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,19,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,22,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,22,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,23,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,23,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,24,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,24,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,26,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,26,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,27,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,27,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,27,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,28,"sheltered","Halichondria panicea","Invertebrate","Sponge","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
1985,28,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1985,28,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1985,28,"sheltered","Metridium dianthus","Invertebrate","Anemone","small-medium","no","predator","secondary consumer","motile","sessile","yes","yes","yes","no"
1985,28,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,1,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,2,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,2,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,5,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,5,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,7,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,7,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,13,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,13,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,13,"exposed","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,15,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,15,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,17,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,17,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,19,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,19,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,20,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,20,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,21,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,21,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,24,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,24,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,24,"exposed","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,26,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,26,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,27,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1986,27,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1986,27,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,2,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,2,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,5,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,5,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,7,"sheltered","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,7,"sheltered","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,7,"sheltered","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,13,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,13,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,13,"exposed","Halichondria panicea","Invertebrate","Sponge","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
1987,13,"exposed","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,15,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,15,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,19,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,19,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,20,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,20,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,22,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,22,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,23,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
1987,23,"exposed","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
1987,24,"exposed","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
