"species","phylum","group","common_name_division_bgr","invasive_gom","intertidal_gom","subtidal_gom","autotroph","erect_morphology_growth_form","foliose_morphology_growth_form","filamentous_morphology_growth_form","crustose_morphology_growth_form","globular_morphology_growth_form","leathery_external_morphology","branched_external_morphology","saccate_external_morphology","corticated_internal_anatomy","space_use_canopy_gom","space_use_subcanopy_gom","space_use_turf_gom","potential_asexual_reproduction","perennial_gom","epilithic_env_position","epibiotic_env_position_gom"
"Fucus distichus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
"Ceramium virgatum","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","no","yes","yes","yes"
"Clathromorphum circumscriptum","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","no"
"Ulva intestinalis","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no ","yes","no ","yes","no","yes","yes"
"Plumaria plumosa","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","no ","yes","yes","yes","yes","yes"
"Palmaria palmata","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
"Alaria esculenta","Ochrophyta","Algae","Brown Algae","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","yes","no ","no ","no","yes","yes","no"
"Polysiphonia","Rhodophyta","Algae","Red Algae","yes/no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","yes","yes","yes","yes"
"Porphyra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","no ","yes","no ","no","yes","yes","no"
"Ahnfeltia plicata","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
"Pylaiella littoralis","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","no","no","yes","yes"
"Leathesia marina","Ochrophyta","Algae","Brown Algae","no","yes","yes","yes","yes","no","no","no","yes","no","no","yes","yes","no ","yes","no ","yes","no","yes","yes"
"Spongomorpha aeruginosa","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","yes","no","yes","yes"
"Elachista fucicola","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no ","no ","yes","yes","yes","no","yes"
"Ptilota serrata","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","yes"
"Cystoclonium purpureum","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
"Chordaria flagelliformis","Ochrophyta","Algae","Brown Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
"Bonnemaisonia hamifera","Rhodophyta","Algae","Red Algae","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no ","no ","yes","yes","yes","yes","yes"
"Codium fragile","Chlorophyta","Algae","Green Algae","yes","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","yes"
"Euthora cristata","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","yes"
"Vertebrata lanosa","Rhodophyta","Algae","Red Algae","no","yes","no","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","no","yes","yes","yes"
"Saccorhiza dermatodea","Ochrophyta","Algae","Brown Algae","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","no","yes","no"
"Chorda filum","Ochrophyta","Algae","Brown Algae","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no ","no ","yes","no","yes","no"
"Petalonia fascia","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","yes","no","no","no","no","yes","no ","yes","no ","yes","no","yes","no"
"Dumontia contorta","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
