year,species,position,Abund,n_transect,Avg_abund_per_transect,Total_abund,rel_abund_by_side
1982,Elachista fucicola,sheltered,0,7,0,5345.25,0
1982,Electra pilosa,exposed,0,9,0,7438,0
1982,Electra pilosa,sheltered,0,7,0,5345.25,0
1982,Erythrotrichia carnea,exposed,0,9,0,7438,0
1982,Erythrotrichia carnea,sheltered,0,7,0,5345.25,0
1982,Euthora cristata,exposed,0,9,0,7438,0
1982,Euthora cristata,sheltered,0,7,0,5345.25,0
1982,Fucus (canopy),exposed,75,9,8.333333333,7438,0.010083356
1982,Fucus (canopy),sheltered,10,7,1.428571429,5345.25,0.00187082
1982,Fucus (primary),exposed,40,9,4.444444444,7438,0.00537779
1982,Fucus (primary),sheltered,5,7,0.714285714,5345.25,9.35E-04
1982,Fucus distichus (canopy),exposed,40,9,4.444444444,7438,0.00537779
1982,Fucus distichus (canopy),sheltered,50,7,7.142857143,5345.25,0.009354099
1982,Fucus spiralis (canopy),exposed,140,9,15.55555556,7438,0.018822264
1982,Fucus spiralis (canopy),sheltered,0,7,0,5345.25,0
1982,Fucus vesiculosus (canopy),exposed,225,9,25,7438,0.030250067
1982,Fucus vesiculosus (canopy),sheltered,27,7,3.857142857,5345.25,0.005051214
1982,Halichondria,exposed,0,9,0,7438,0
1982,Halichondria,sheltered,0,7,0,5345.25,0
1982,Hiatella arctica,exposed,0,9,0,7438,0
1982,Hiatella arctica,sheltered,0,7,0,5345.25,0
1982,Hildenbrandia rubra,exposed,684.4,9,76.04444444,7438,0.092013982
1982,Hildenbrandia rubra,sheltered,1023.5,7,146.2142857,5345.25,0.191478415
1982,Hippothoa hyalina,exposed,0,9,0,7438,0
1982,Hippothoa hyalina,sheltered,0,7,0,5345.25,0
1982,Leathesia marina,exposed,0,9,0,7438,0
1982,Leathesia marina,sheltered,0,7,0,5345.25,0
1982,Little round green things,exposed,395,9,43.88888889,7438,0.053105674
1982,Little round green things,sheltered,257.25,7,36.75,5345.25,0.048126842
1982,Mastocarpus stellatus (canopy),exposed,315,9,35,7438,0.042350094
1982,Mastocarpus stellatus (canopy),sheltered,142,7,20.28571429,5345.25,0.026565642
1982,Mastocarpus stellatus (crust),exposed,0,9,0,7438,0
1982,Mastocarpus stellatus (crust),sheltered,0,7,0,5345.25,0
1982,Mastocarpus stellatus (primary),exposed,0,9,0,7438,0
1982,Mastocarpus stellatus (primary),sheltered,0,7,0,5345.25,0
1982,Membranipora membranacea,exposed,0,9,0,7438,0
1982,Membranipora membranacea,sheltered,0,7,0,5345.25,0
1982,Metridium senile,exposed,0,9,0,7438,0
1982,Metridium senile,sheltered,0,7,0,5345.25,0
1982,Modiolus modiolus,exposed,23,9,2.555555556,7438,0.003092229
1982,Modiolus modiolus,sheltered,12,7,1.714285714,5345.25,0.002244984
1982,Monostroma,exposed,0,9,0,7438,0
1982,Monostroma,sheltered,0,7,0,5345.25,0
1982,Mytilus edulis,exposed,1133,9,125.8888889,7438,0.152325894
1982,Mytilus edulis,sheltered,1.5,7,0.214285714,5345.25,2.81E-04
1982,Nemalion helminthoides,exposed,0,9,0,7438,0
1982,Nemalion helminthoides,sheltered,0,7,0,5345.25,0
1982,Palmaria palmata,exposed,0,9,0,7438,0
1982,Palmaria palmata,sheltered,0,7,0,5345.25,0
1982,Palmellococcus,exposed,0,9,0,7438,0
1982,Palmellococcus,sheltered,0,7,0,5345.25,0
1982,Petalonia fascia,exposed,0,9,0,7438,0
1982,Petalonia fascia,sheltered,0,7,0,5345.25,0
1982,Phymatolithon lenormandii,exposed,213,9,23.66666667,7438,0.02863673
1982,Phymatolithon lenormandii,sheltered,716,7,102.2857143,5345.25,0.133950704
1982,Plumaria plumosa,exposed,0,9,0,7438,0
1982,Plumaria plumosa,sheltered,0,7,0,5345.25,0
1982,Polysiphonia (canopy),exposed,0,9,0,7438,0
1982,Polysiphonia (canopy),sheltered,0,7,0,5345.25,0
1982,Porphyra,exposed,0,9,0,7438,0
1982,Porphyra,sheltered,0,7,0,5345.25,0
1982,Prasiola stipitata,exposed,133,9,14.77777778,7438,0.017881151
1982,Prasiola stipitata,sheltered,91.5,7,13.07142857,5345.25,0.017118002
1982,Ptilota serrata,exposed,0,9,0,7438,0
1982,Ptilota serrata,sheltered,0,7,0,5345.25,0
1982,Pylaiella littoralis,exposed,0,9,0,7438,0
1982,Pylaiella littoralis,sheltered,0,7,0,5345.25,0
1982,Ralfsia,exposed,25,9,2.777777778,7438,0.003361119
1982,Ralfsia,sheltered,81,7,11.57142857,5345.25,0.015153641
1982,Rhizoclonium tortuosum,exposed,0,9,0,7438,0
1982,Rhizoclonium tortuosum,sheltered,0,7,0,5345.25,0
1982,Saccharina latissima (canopy),exposed,0,9,0,7438,0
1982,Saccharina latissima (canopy),sheltered,50,7,7.142857143,5345.25,0.009354099
1982,Saccharina latissima (primary),exposed,0,9,0,7438,0
1982,Saccharina latissima (primary),sheltered,0,7,0,5345.25,0
1982,Schizoporella unicornis,exposed,0,9,0,7438,0
1982,Schizoporella unicornis,sheltered,0,7,0,5345.25,0
1982,Scytosiphon lomentaria,exposed,0,9,0,7438,0
1982,Scytosiphon lomentaria,sheltered,0,7,0,5345.25,0
1982,Semibalanus balanoides,exposed,1286.9,9,142.9888889,7438,0.17301694
1982,Semibalanus balanoides,sheltered,120,7,17.14285714,5345.25,0.022449839
1982,Semibalanus balanoides (dead),exposed,0,9,0,7438,0
1982,Semibalanus balanoides (dead),sheltered,0,7,0,5345.25,0
1982,Shell hash,exposed,0,9,0,7438,0
1982,Shell hash,sheltered,0,7,0,5345.25,0
1982,Sphacelaria,exposed,0,9,0,7438,0
1982,Sphacelaria,sheltered,0,7,0,5345.25,0
1982,Spongomorpha aeruginosa,exposed,0,9,0,7438,0
1982,Spongomorpha aeruginosa,sheltered,0,7,0,5345.25,0
1982,Ulva intestinalis,exposed,0,9,0,7438,0
1982,Ulva intestinalis,sheltered,6,7,0.857142857,5345.25,0.001122492
1982,Ulva lactuca,exposed,22.5,9,2.5,7438,0.003025007
1982,Ulva lactuca,sheltered,7,7,1,5345.25,0.001309574
1982,Verrucaria,exposed,0,9,0,7438,0
1982,Verrucaria,sheltered,82,7,11.71428571,5345.25,0.015340723
1982,Vertebrata lanosa,exposed,0,9,0,7438,0
1982,Vertebrata lanosa,sheltered,0,7,0,5345.25,0
1983,Acrosiphonia,exposed,0,10,0,8622.85,0
1983,Acrosiphonia,sheltered,0,7,0,6182.05,0
1983,Ahnfeltia plicata,exposed,0.5,10,0.05,8622.85,5.80E-05
1983,Ahnfeltia plicata,sheltered,0,7,0,6182.05,0
1983,Alaria esculenta (canopy),exposed,38,10,3.8,8622.85,0.004406896
1983,Alaria esculenta (canopy),sheltered,0,7,0,6182.05,0
1983,Alaria esculenta (primary),exposed,0,10,0,8622.85,0
1983,Alaria esculenta (primary),sheltered,0,7,0,6182.05,0
1983,Anomia simplex,exposed,0,10,0,8622.85,0
1983,Anomia simplex,sheltered,0,7,0,6182.05,0
1983,Antithamnion,exposed,0,10,0,8622.85,0
1983,Antithamnion,sheltered,0,7,0,6182.05,0
1983,Aplidium,exposed,0,10,0,8622.85,0
1983,Aplidium,sheltered,0,7,0,6182.05,0
1983,Arthopyrenia,exposed,0,10,0,8622.85,0
1983,Arthopyrenia,sheltered,0,7,0,6182.05,0
1983,Ascophyllum nodosum (canopy),exposed,167,10,16.7,8622.85,0.019367147
1983,Ascophyllum nodosum (canopy),sheltered,318.1,7,45.44285714,6182.05,0.051455423
1983,Ascophyllum nodosum (primary),exposed,0,10,0,8622.85,0
1983,Ascophyllum nodosum (primary),sheltered,0,7,0,6182.05,0
1983,Audouinella,exposed,0,10,0,8622.85,0
1983,Audouinella,sheltered,0,7,0,6182.05,0
1983,Bare rock,exposed,0,10,0,8622.85,0
1983,Bare rock,sheltered,0,7,0,6182.05,0
1983,Black zone,exposed,661,10,66.1,8622.85,0.07665679
1983,Black zone,sheltered,912,7,130.2857143,6182.05,0.14752388
1983,Bonnemaisonia hamifera (Trailiella phase),exposed,0,10,0,8622.85,0
1983,Bonnemaisonia hamifera (Trailiella phase),sheltered,0,7,0,6182.05,0
1983,Botrylloides violaceus,exposed,0,10,0,8622.85,0
1983,Botrylloides violaceus,sheltered,0,7,0,6182.05,0
1983,Botryllus schlosseri,exposed,0,10,0,8622.85,0
1983,Botryllus schlosseri,sheltered,0,7,0,6182.05,0
1983,Brown ground,exposed,0,10,0,8622.85,0
1983,Brown ground,sheltered,0,7,0,6182.05,0
1983,Ceramium virgatum (canopy),exposed,119.5,10,11.95,8622.85,0.013858527
1983,Ceramium virgatum (canopy),sheltered,0,7,0,6182.05,0
1983,Ceramium virgatum (primary),exposed,0,10,0,8622.85,0
1983,Ceramium virgatum (primary),sheltered,0,7,0,6182.05,0
1983,Chaetomorpha,exposed,0.5,10,0.05,8622.85,5.80E-05
1983,Chaetomorpha,sheltered,0,7,0,6182.05,0
1983,Chondrus crispus (canopy),exposed,794.5,10,79.45,8622.85,0.09213891
1983,Chondrus crispus (canopy),sheltered,1222,7,174.5714286,6182.05,0.197669058
1983,Chondrus crispus (primary),exposed,0,10,0,8622.85,0
1983,Chondrus crispus (primary),sheltered,0,7,0,6182.05,0
1983,Chorda filum,exposed,0,10,0,8622.85,0
1983,Chorda filum,sheltered,0,7,0,6182.05,0
1983,Chordaria flagelliformis,exposed,0,10,0,8622.85,0
1983,Chordaria flagelliformis,sheltered,0,7,0,6182.05,0
1983,Cladophora,exposed,0,10,0,8622.85,0
1983,Cladophora,sheltered,11,7,1.571428571,6182.05,0.001779345
1983,Clathromorphum circumscriptum,exposed,0,10,0,8622.85,0
1983,Clathromorphum circumscriptum,sheltered,0,7,0,6182.05,0
1983,Codium fragile (canopy),exposed,0,10,0,8622.85,0
1983,Codium fragile (canopy),sheltered,0,7,0,6182.05,0
1983,Codium fragile (primary),exposed,0,10,0,8622.85,0
1983,Codium fragile (primary),sheltered,0,7,0,6182.05,0
1983,Corallina officinalis,exposed,105,10,10.5,8622.85,0.012176948
1983,Corallina officinalis,sheltered,35.5,7,5.071428571,6182.05,0.005742432
1983,Coralline (crust),exposed,77,10,7.7,8622.85,0.008929762
1983,Coralline (crust),sheltered,155,7,22.14285714,6182.05,0.025072589
1983,Cryptosula pallasiana,exposed,144,10,14.4,8622.85,0.016699815
1983,Cryptosula pallasiana,sheltered,364,7,52,6182.05,0.058880145
1983,Cyanobacteria,exposed,814.5,10,81.45,8622.85,0.094458329
1983,Cyanobacteria,sheltered,151,7,21.57142857,6182.05,0.024425555
1983,Cystoclonium purpureum,exposed,0,10,0,8622.85,0
1983,Cystoclonium purpureum,sheltered,0,7,0,6182.05,0
1983,Devaleraea ramentacea,exposed,0,10,0,8622.85,0
1983,Devaleraea ramentacea,sheltered,0,7,0,6182.05,0
1983,Diadumene lineata,exposed,0,10,0,8622.85,0
1983,Diadumene lineata,sheltered,0,7,0,6182.05,0
1983,Diatom,exposed,0,10,0,8622.85,0
1983,Diatom,sheltered,0,7,0,6182.05,0
1983,Diplosoma,exposed,0,10,0,8622.85,0
1983,Diplosoma,sheltered,0,7,0,6182.05,0
1983,Dumontia concortum,exposed,0,10,0,8622.85,0
1983,Dumontia concortum,sheltered,0,7,0,6182.05,0
1983,Dynamena pumila,exposed,0,10,0,8622.85,0
1983,Dynamena pumila,sheltered,0,7,0,6182.05,0
1983,Ectocarpus,exposed,0,10,0,8622.85,0
1983,Ectocarpus,sheltered,0,7,0,6182.05,0
1983,Elachista fucicola,exposed,0,10,0,8622.85,0
1983,Elachista fucicola,sheltered,0,7,0,6182.05,0
1983,Electra pilosa,exposed,0,10,0,8622.85,0
1983,Electra pilosa,sheltered,0,7,0,6182.05,0
1983,Erythrotrichia carnea,exposed,0,10,0,8622.85,0
1983,Erythrotrichia carnea,sheltered,0,7,0,6182.05,0
1983,Euthora cristata,exposed,0,10,0,8622.85,0
1983,Euthora cristata,sheltered,0,7,0,6182.05,0
1983,Fucus (canopy),exposed,27.75,10,2.775,8622.85,0.003218194
1983,Fucus (canopy),sheltered,5,7,0.714285714,6182.05,8.09E-04
1983,Fucus (primary),exposed,0,10,0,8622.85,0
1983,Fucus (primary),sheltered,0,7,0,6182.05,0
1983,Fucus distichus (canopy),exposed,75.5,10,7.55,8622.85,0.008755806
1983,Fucus distichus (canopy),sheltered,23.5,7,3.357142857,6182.05,0.003801328
1983,Fucus spiralis (canopy),exposed,21.6,10,2.16,8622.85,0.002504972
1983,Fucus spiralis (canopy),sheltered,55,7,7.857142857,6182.05,0.008896725
1983,Fucus vesiculosus (canopy),exposed,95,10,9.5,8622.85,0.011017239
1983,Fucus vesiculosus (canopy),sheltered,67.45,7,9.635714286,6182.05,0.01091062
1983,Giffordia granulosa,sheltered,5,7,0.714285714,6182.05,8.09E-04
1983,Halichondria,exposed,0,10,0,8622.85,0
1983,Halichondria,sheltered,0,7,0,6182.05,0
1983,Hiatella arctica,exposed,0,10,0,8622.85,0
1983,Hiatella arctica,sheltered,0,7,0,6182.05,0
1983,Hildenbrandia rubra,exposed,1427,10,142.7,8622.85,0.165490528
1983,Hildenbrandia rubra,sheltered,743.5,7,106.2142857,6182.05,0.120267549
1983,Hippothoa hyalina,exposed,0,10,0,8622.85,0
1983,Hippothoa hyalina,sheltered,0,7,0,6182.05,0
1983,Leathesia marina,exposed,0,10,0,8622.85,0
1983,Leathesia marina,sheltered,0,7,0,6182.05,0
1983,Little round green things,exposed,261.5,10,26.15,8622.85,0.0303264
1983,Little round green things,sheltered,205,7,29.28571429,6182.05,0.033160521
1983,Mastocarpus stellatus (canopy),exposed,557.5,10,55.75,8622.85,0.064653798
1983,Mastocarpus stellatus (canopy),sheltered,172.5,7,24.64285714,6182.05,0.027903365
1983,Mastocarpus stellatus (crust),exposed,155.5,10,15.55,8622.85,0.018033481
1983,Mastocarpus stellatus (crust),sheltered,196.5,7,28.07142857,6182.05,0.031785573
1983,Mastocarpus stellatus (primary),exposed,0,10,0,8622.85,0
1983,Mastocarpus stellatus (primary),sheltered,0,7,0,6182.05,0
1983,Membranipora membranacea,exposed,0,10,0,8622.85,0
1983,Membranipora membranacea,sheltered,0,7,0,6182.05,0
1983,Metridium senile,exposed,0,10,0,8622.85,0
1983,Metridium senile,sheltered,0,7,0,6182.05,0
1983,Modiolus modiolus,exposed,10,10,1,8622.85,0.001159709
1983,Modiolus modiolus,sheltered,210.5,7,30.07142857,6182.05,0.034050194
1983,Monostroma,exposed,0,10,0,8622.85,0
1983,Monostroma,sheltered,0,7,0,6182.05,0
1983,Mytilus edulis,exposed,981.5,10,98.15,8622.85,0.113825475
1983,Mytilus edulis,sheltered,105,7,15,6182.05,0.016984657
1983,Nemalion helminthoides,exposed,0,10,0,8622.85,0
1983,Nemalion helminthoides,sheltered,0,7,0,6182.05,0
1983,Palmaria palmata,exposed,0,10,0,8622.85,0
1983,Palmaria palmata,sheltered,2,7,0.285714286,6182.05,3.24E-04
1983,Palmellococcus,exposed,0,10,0,8622.85,0
1983,Palmellococcus,sheltered,0,7,0,6182.05,0
1983,Petalonia fascia,exposed,0,10,0,8622.85,0
1983,Petalonia fascia,sheltered,0,7,0,6182.05,0
1983,Phymatolithon lenormandii,exposed,327,10,32.7,8622.85,0.037922497
1983,Phymatolithon lenormandii,sheltered,270,7,38.57142857,6182.05,0.043674833
1983,Plumaria plumosa,exposed,0,10,0,8622.85,0
1983,Plumaria plumosa,sheltered,0.5,7,0.071428571,6182.05,8.09E-05
1983,Polysiphonia (canopy),exposed,52,10,5.2,8622.85,0.006030489
1983,Polysiphonia (canopy),sheltered,40,7,5.714285714,6182.05,0.006470346
1983,Porphyra,exposed,1,10,0.1,8622.85,1.16E-04
1983,Porphyra,sheltered,0,7,0,6182.05,0
1983,Prasiola stipitata,exposed,23,10,2.3,8622.85,0.002667332
1983,Prasiola stipitata,sheltered,35,7,5,6182.05,0.005661552
1983,Ptilota serrata,exposed,0,10,0,8622.85,0
1983,Ptilota serrata,sheltered,0,7,0,6182.05,0
1983,Pylaiella littoralis,exposed,0,10,0,8622.85,0
1983,Pylaiella littoralis,sheltered,0,7,0,6182.05,0
1983,Ralfsia,exposed,0,10,0,8622.85,0
1983,Ralfsia,sheltered,74,7,10.57142857,6182.05,0.011970139
1983,Rhizoclonium tortuosum,exposed,0,10,0,8622.85,0
1983,Rhizoclonium tortuosum,sheltered,0,7,0,6182.05,0
1983,Saccharina latissima (canopy),exposed,0,10,0,8622.85,0
1983,Saccharina latissima (canopy),sheltered,20,7,2.857142857,6182.05,0.003235173
1983,Saccharina latissima (primary),exposed,0,10,0,8622.85,0
1983,Saccharina latissima (primary),sheltered,0,7,0,6182.05,0
1983,Schizoporella unicornis,exposed,0,10,0,8622.85,0
1983,Schizoporella unicornis,sheltered,0,7,0,6182.05,0
1983,Scytosiphon lomentaria,exposed,0,10,0,8622.85,0
1983,Scytosiphon lomentaria,sheltered,0,7,0,6182.05,0
1983,Semibalanus balanoides,exposed,1553.5,10,155.35,8622.85,0.180160852
1983,Semibalanus balanoides,sheltered,724.5,7,103.5,6182.05,0.117194135
1983,Semibalanus balanoides (dead),exposed,0,10,0,8622.85,0
1983,Semibalanus balanoides (dead),sheltered,0,7,0,6182.05,0
1983,Shell hash,exposed,0,10,0,8622.85,0
1983,Shell hash,sheltered,0,7,0,6182.05,0
1983,Sphacelaria,exposed,0,10,0,8622.85,0
1983,Sphacelaria,sheltered,0,7,0,6182.05,0
1983,Sphacelaria cirrosa,sheltered,12,7,1.714285714,6182.05,0.001941104
1983,Spongomorpha aeruginosa,exposed,0,10,0,8622.85,0
1983,Spongomorpha aeruginosa,sheltered,0,7,0,6182.05,0
1983,Ulva intestinalis,exposed,5.5,10,0.55,8622.85,6.38E-04
1983,Ulva intestinalis,sheltered,0,7,0,6182.05,0
1983,Ulva lactuca,exposed,26,10,2.6,8622.85,0.003015244
1983,Ulva lactuca,sheltered,1,7,0.142857143,6182.05,1.62E-04
1983,Verrucaria,exposed,100.5,10,10.05,8622.85,0.011655079
1983,Verrucaria,sheltered,45.5,7,6.5,6182.05,0.007360018
1983,Vertebrata lanosa,exposed,0,10,0,8622.85,0
1984,Acrosiphonia,exposed,0,8,0,10080,0
1984,Acrosiphonia,sheltered,0,5,0,6838.6,0
1984,Ahnfeltia plicata,exposed,0,8,0,10080,0
1984,Ahnfeltia plicata,sheltered,0,5,0,6838.6,0
1984,Alaria esculenta (canopy),exposed,50,8,6.25,10080,0.004960317
1984,Alaria esculenta (canopy),sheltered,0,5,0,6838.6,0
1984,Alaria esculenta (primary),exposed,0,8,0,10080,0
1984,Alaria esculenta (primary),sheltered,0,5,0,6838.6,0
1984,Anomia simplex,exposed,0,8,0,10080,0
1984,Anomia simplex,sheltered,0.5,5,0.1,6838.6,7.31E-05
1984,Antithamnion,exposed,0,8,0,10080,0
1984,Antithamnion,sheltered,0,5,0,6838.6,0
1984,Aplidium,exposed,0,8,0,10080,0
1984,Aplidium,sheltered,0,5,0,6838.6,0
1984,Arthopyrenia,exposed,0,8,0,10080,0
1984,Arthopyrenia,sheltered,0,5,0,6838.6,0
1984,Ascophyllum nodosum (canopy),exposed,502,8,62.75,10080,0.049801587
1984,Ascophyllum nodosum (canopy),sheltered,431.5,5,86.3,6838.6,0.06309771
1984,Ascophyllum nodosum (primary),exposed,100,8,12.5,10080,0.009920635
1984,Ascophyllum nodosum (primary),sheltered,60,5,12,6838.6,0.008773726
1984,Audouinella,exposed,10,8,1.25,10080,9.92E-04
1984,Audouinella,sheltered,0,5,0,6838.6,0
1984,Bare rock,exposed,0,8,0,10080,0
1984,Bare rock,sheltered,909.5,5,181.9,6838.6,0.132995057
1984,Black zone,exposed,1512,8,189,10080,0.15
1984,Black zone,sheltered,775,5,155,6838.6,0.113327289
1984,Bonnemaisonia hamifera (Trailiella phase),exposed,0,8,0,10080,0
1984,Bonnemaisonia hamifera (Trailiella phase),sheltered,0,5,0,6838.6,0
1984,Botrylloides violaceus,exposed,0,8,0,10080,0
1984,Botrylloides violaceus,sheltered,0,5,0,6838.6,0
1984,Botryllus schlosseri,exposed,0,8,0,10080,0
1984,Botryllus schlosseri,sheltered,0,5,0,6838.6,0
1984,Brown ground,exposed,0,8,0,10080,0
1984,Brown ground,sheltered,0,5,0,6838.6,0
1984,Brown lichen,exposed,7,8,0.875,10080,6.94E-04
1984,Ceramium virgatum (canopy),exposed,145.5,8,18.1875,10080,0.014434524
1984,Ceramium virgatum (canopy),sheltered,6,5,1.2,6838.6,8.77E-04
1984,Ceramium virgatum (primary),exposed,0,8,0,10080,0
1984,Ceramium virgatum (primary),sheltered,0,5,0,6838.6,0
1984,Chaetomorpha,exposed,0,8,0,10080,0
1984,Chaetomorpha,sheltered,0,5,0,6838.6,0
1984,Chondrus crispus (canopy),exposed,942,8,117.75,10080,0.093452381
1984,Chondrus crispus (canopy),sheltered,1094.5,5,218.9,6838.6,0.160047378
1984,Chondrus crispus (primary),exposed,55,8,6.875,10080,0.005456349
1984,Chondrus crispus (primary),sheltered,70,5,14,6838.6,0.010236013
1984,Chorda filum,exposed,0,8,0,10080,0
1984,Chorda filum,sheltered,0,5,0,6838.6,0
1984,Chordaria flagelliformis,exposed,0,8,0,10080,0
1984,Chordaria flagelliformis,sheltered,0,5,0,6838.6,0
1984,Cladophora,exposed,0,8,0,10080,0
1984,Cladophora,sheltered,0,5,0,6838.6,0
1984,Clathromorphum circumscriptum,exposed,0,8,0,10080,0
1984,Clathromorphum circumscriptum,sheltered,0,5,0,6838.6,0
1984,Codium fragile (canopy),exposed,0,8,0,10080,0
1984,Codium fragile (canopy),sheltered,0,5,0,6838.6,0
1984,Codium fragile (primary),exposed,0,8,0,10080,0
1984,Codium fragile (primary),sheltered,0,5,0,6838.6,0
1984,Corallina officinalis,exposed,24.5,8,3.0625,10080,0.002430556
1984,Corallina officinalis,sheltered,94.5,5,18.9,6838.6,0.013818618
1984,Coralline (crust),exposed,0,8,0,10080,0
1984,Coralline (crust),sheltered,10,5,2,6838.6,0.001462288
1984,Cryptosula pallasiana,exposed,3,8,0.375,10080,2.98E-04
1984,Cryptosula pallasiana,sheltered,12.5,5,2.5,6838.6,0.00182786
1984,Cyanobacteria,exposed,526,8,65.75,10080,0.05218254
1984,Cyanobacteria,sheltered,157,5,31.4,6838.6,0.022957915
1984,Cystoclonium purpureum,exposed,0,8,0,10080,0
1984,Cystoclonium purpureum,sheltered,0,5,0,6838.6,0
1984,Devaleraea ramentacea,exposed,0,8,0,10080,0
1984,Devaleraea ramentacea,sheltered,0,5,0,6838.6,0
