"","X.1","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X.x","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal","X.y","X1982","X1998","X2009","X2015","X1983","X1987","X1992","X1994","X2004","X2006","X2010","X2012","X2013","X1984","X1986","X1988","X1989","X1990","X1991","X1993","X1995","X1996","X1997","X1999","X2000","X2001","X2002","X2003","X2005","X1985","X2008","X2011","X2014","X2016","X2017","Current.Abundance","position.x","Historical.Abundance","position.y"
"25",19,-0.0405930343634448,0.034174178669414,-0.12223063582705,0.224776775040643,0.0914823574248724,19,60,"Metridium senile","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","yes","no","yes","no",99,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,1,1,2,1,0,"exposed",0,"exposed"
"26",19,-0.0405930343634448,0.034174178669414,-0.12223063582705,0.224776775040643,0.0914823574248724,19,60,"Metridium senile","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","yes","no","yes","no",99,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,1,1,2,1,0,"exposed",0,"sheltered"
"27",19,-0.0405930343634448,0.034174178669414,-0.12223063582705,0.224776775040643,0.0914823574248724,19,60,"Metridium senile","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","yes","no","yes","no",99,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,1,1,2,1,0,"sheltered",0,"exposed"
"28",19,-0.0405930343634448,0.034174178669414,-0.12223063582705,0.224776775040643,0.0914823574248724,19,60,"Metridium senile","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","yes","no","yes","no",99,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,1,1,2,1,0,"sheltered",0,"sheltered"
"29",53,-0.390401162993399,-0.763918608836803,0.0447651029152608,-0.251905216791506,0.035080098102516,53,95,"Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes",21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"exposed",0,"exposed"
"30",53,-0.390401162993399,-0.763918608836803,0.0447651029152608,-0.251905216791506,0.035080098102516,53,95,"Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes",21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"exposed",0,"sheltered"
"31",53,-0.390401162993399,-0.763918608836803,0.0447651029152608,-0.251905216791506,0.035080098102516,53,95,"Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes",21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000157,"sheltered",0,"exposed"
"32",53,-0.390401162993399,-0.763918608836803,0.0447651029152608,-0.251905216791506,0.035080098102516,53,95,"Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes",21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000157,"sheltered",0,"sheltered"
"33",54,-0.504908981391373,-0.543717214306395,-0.0586159147253687,-0.236499303073763,0.168376923680242,54,96,"Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes",22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"exposed"
"34",54,-0.504908981391373,-0.543717214306395,-0.0586159147253687,-0.236499303073763,0.168376923680242,54,96,"Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes",22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"sheltered"
"35",54,-0.504908981391373,-0.543717214306395,-0.0586159147253687,-0.236499303073763,0.168376923680242,54,96,"Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes",22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"exposed"
"36",54,-0.504908981391373,-0.543717214306395,-0.0586159147253687,-0.236499303073763,0.168376923680242,54,96,"Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes",22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"sheltered"
