"species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal","species_id","D1","D2","D3","D4","D5"
"Crepidula fornicata","Invertebrate","Gastropod",3,2,1,3,1,1,2,2,1,2,2,32,0.511631102170708,0.280071577097038,0.133230227876857,-0.538932410683735,0.51760602659441
"Lacuna vincta","Invertebrate","Gastropod",2,2,1,3,3,3,1,2,1,2,1,33,0.947388148629628,-1.73651616873352,1.37183303889774,-1.67990200116989,-0.449615233926014
"Littorina littorea","Invertebrate","Gastropod",3,2,3,3,3,3,1,2,2,2,1,34,0.915778921801297,-1.71804023976232,2.32015979943304,0.969922107013686,-1.38220874698279
"Littorina obtusata","Invertebrate","Gastropod",2,2,3,3,3,3,1,2,1,2,1,35,0.68647084439594,-1.97055121209883,1.3250650524176,-1.34527832552982,-0.716957316460634
"Littorina saxatilis","Invertebrate","Gastropod",3,2,3,3,3,3,2,1,1,2,1,36,0.0720624721720318,-1.70395178545875,-0.467507936819895,-0.117987791702378,0.334004892339071
"Nucella lapillus","Invertebrate","Gastropod",3,2,5,4,3,3,1,2,1,2,1,37,0.0968526896589561,-2.33946825293629,1.34754685983373,-0.491202217274862,-0.0967127725386865
"Tectura testudinalis","Invertebrate","Gastropod",2,2,3,3,3,3,2,1,1,2,1,38,0.072062472172032,-1.70395178545875,-0.467507936819895,-0.117987791702378,0.33400489233907
"Testudinalia testudinalis","Invertebrate","Gastropod",3,2,1,3,3,1,2,2,1,1,2,39,0.724986358576918,0.615350893749688,-1.04619513504685,-0.610315653581348,-0.34389940514606
"Thylacodes","Invertebrate","Gastropod",3,2,1,3,3,1,2,2,1,1,2,40,0.724986358576918,0.615350893749688,-1.04619513504685,-0.610315653581348,-0.34389940514606
"Obelia","Invertebrate","Hydrozoan",5,1,1,3,1,4,2,2,1,1,2,41,-0.585453161306067,1.11880247269452,0.782508463790693,-1.2455409235892,0.229068751196799
"Spirorbis","Invertebrate","Polychaete",1,2,1,3,3,1,1,2,1,2,1,42,1.34423732986585,-1.26767810290596,1.3502352411671,-1.72628930601551,0.185075018648009
"Asterias forbesi","Invertebrate","Sea Stars",3,2,5,4,3,3,2,1,1,2,2,43,-0.694698415547019,-1.30566715451961,-1.04834929743224,1.1224682792526,-0.336223759513235
"Asterias rubens","Invertebrate","Sea Stars",5,2,5,4,3,3,2,1,1,2,2,44,-1.0629236617206,-1.14367933969992,-0.795462851986493,0.967893621210812,0.343000410125569
"Henricia sanguinolenta","Invertebrate","Sea Stars",3,2,1,3,3,3,2,1,1,2,2,45,0.155837043423653,-0.70271507031684,-1.02406311836822,-0.0662315046424232,-0.689126220900563
"Halichondria panicea","Invertebrate","Sponge",4,1,1,3,3,1,2,2,1,1,2,46,0.414895606780619,1.21297156789188,-0.309505051509785,-0.751698250885795,0.588098627026833
"Halisarca dujardinii","Invertebrate","Sponge",4,1,1,3,3,1,2,2,1,1,2,47,0.414895606780619,1.21297156789188,-0.309505051509785,-0.751698250885795,0.588098627026833
"Hymedesmia","Invertebrate","Sponge",4,1,1,3,3,1,2,2,1,1,2,48,0.414895606780619,1.21297156789188,-0.309505051509785,-0.751698250885795,0.588098627026833
"Leucosolenia","Invertebrate","Sponge",4,2,1,3,3,1,2,2,1,1,2,49,0.623651846965587,0.659929466979843,-0.976601524318998,-0.652854147731121,-0.15697889868922
"Aplidium pallidum","Invertebrate","Tunicate",3,1,1,3,2,2,1,1,1,1,2,50,-0.299926161471392,0.435582338371646,1.89418470030763,-2.43672578099164,-2.43240178962686
"Boltenia echinata","Invertebrate","Tunicate",2,1,1,3,3,1,2,2,1,1,2,51,0.516230118391949,1.16839299466172,-0.379098662237633,-0.709159756736023,0.401178120569993
"Boltenia ovifera","Invertebrate","Tunicate",3,1,1,3,3,1,2,2,1,1,2,52,0.516230118391949,1.16839299466172,-0.379098662237633,-0.709159756736023,0.401178120569993
"Botrylloides violaceus","Invertebrate","Tunicate",4,1,1,3,3,1,2,2,2,1,2,53,0.644203684185976,1.46548254022838,0.685589695505666,1.56350218165771,-0.077152803495327
"Botryllus schlosseri","Invertebrate","Tunicate",4,1,1,3,3,1,2,2,2,2,2,54,0.822156062248389,0.848880678933005,0.940326634540921,2.08604085108027,0.900099153005826
"Ciona intestinalis","Invertebrate","Tunicate",3,1,1,3,3,1,2,2,2,1,2,55,0.745538195797306,1.42090396699823,0.615996084777818,1.60604067580748,-0.264073309952167
"Ciona savignyi","Invertebrate","Tunicate",4,1,1,3,1,1,1,2,2,1,2,56,0.4623531277814,1.27164243688951,3.18621392958084,-0.162747216891885,-1.83075329506006
"Dendrodoa carnea","Invertebrate","Tunicate",2,1,1,3,3,1,2,2,1,1,2,57,0.516230118391949,1.16839299466172,-0.379098662237633,-0.709159756736023,0.401178120569993
"Didemnum albidum","Invertebrate","Tunicate",2,1,1,3,3,1,2,2,1,1,2,58,0.516230118391949,1.16839299466172,-0.379098662237633,-0.709159756736023,0.401178120569993
"Didemnum vexillum","Invertebrate","Tunicate",2,1,1,3,1,1,2,2,2,2,2,59,0.532182939391097,1.08562465034558,1.79542144770152,1.67742391870509,0.597432121788302
"Diplosoma listerianum","Invertebrate","Tunicate",1,1,1,3,3,1,2,2,2,1,2,60,0.800236977977708,1.39684115139616,0.578430543741307,1.62900228867541,-0.364970071629458
"Cyclopterus lumpus","Vertebrate","Fish",7,1,5,4,2,3,2,1,1,1,2,61,-2.09591628441647,0.419455100861719,0.716695499509348,-0.211679295385456,0.465406014142887
"Morone saxatilis","Vertebrate","Fish",7,1,5,4,2,3,2,1,1,1,2,62,-2.09591628441647,0.419455100861719,0.716695499509348,-0.211679295385456,0.465406014142887
"Myoxocephalus octodecemspinosus","Vertebrate","Fish",5,1,5,4,2,3,2,1,1,1,2,63,-1.8409399144366,0.30728716715022,0.541585105675912,-0.104644577891379,-0.0049205454202156
"Myoxocephalus scorpius","Vertebrate","Fish",6,1,5,4,2,3,2,1,1,1,2,64,-2.09591628441577,0.419455100861411,0.716695499508868,-0.211679295385162,0.465406014141596
"Pholis gunnellus","Vertebrate","Fish",4,1,5,4,2,3,2,1,1,1,2,65,-1.57404917987435,0.189877925560678,0.358292270958015,0.00739158600063847,-0.497224208602179
"Pollachius virens","Vertebrate","Fish",7,1,5,4,2,3,2,1,1,1,2,66,-2.09591628441647,0.419455100861719,0.716695499509348,-0.211679295385456,0.465406014142887
"Pseudopleuronectes americanus","Vertebrate","Fish",6,1,5,4,2,3,2,1,1,1,2,67,-2.09591628441577,0.419455100861411,0.716695499508868,-0.211679295385162,0.465406014141596
"Tautoga onitis","Vertebrate","Fish",6,1,5,4,2,3,2,1,1,1,2,68,-2.09591628441577,0.419455100861411,0.716695499508868,-0.211679295385162,0.465406014141596
"Tautogolabrus adspersus","Vertebrate","Fish",5,1,5,4,2,3,2,1,1,1,2,69,-1.8409399144366,0.30728716715022,0.541585105675912,-0.104644577891379,-0.0049205454202156
"Urophycis regia","Vertebrate","Fish",5,1,5,4,2,3,2,1,1,1,2,70,-1.8409399144366,0.30728716715022,0.541585105675912,-0.104644577891379,-0.0049205454202156
