year,species,dataset
1988,Nucella lapillus,int_counts
1988,Nudibranchia,int_counts
1988,Oligochaete,int_counts
1988,Pagurus acadianus,int_counts
1988,platyhelminthes,int_counts
1988,Polychaeta,int_counts
1988,Semibalanus balanoides,int_counts
1988,Spirorbis,int_counts
1988,Strongylocentrotus droebachiensis,int_counts
1988,Tectura testudinalis,int_counts
1989,Amphipoda,int_counts
1989,Annelid,int_counts
1989,Anomia simplex,int_counts
1989,Anurida maritima,int_counts
1989,Carcinus maenus,int_counts
1989,Halacarus,int_counts
1989,Hiatella arctica,int_counts
1989,Isopods,int_counts
1989,Littorina littorea,int_counts
1989,Littorina obtusata,int_counts
1989,Littorina saxatilis,int_counts
1989,Metridium senile,int_counts
1989,Modiolus modiolus,int_counts
1989,Mytilus edulis,int_counts
1989,Nucella lapillus,int_counts
1989,Ophiopholis,int_counts
1989,Semibalanus balanoides,int_counts
1989,Spirorbis,int_counts
1989,Strongylocentrotus droebachiensis,int_counts
1989,Tectura testudinalis,int_counts
1990,Amphipoda,int_counts
1990,Annelid,int_counts
1990,Anurida maritima,int_counts
1990,Asterias forbesi,int_counts
1990,Asterias rubens,int_counts
1990,Carcinus maenus,int_counts
1990,Crepidula fornicata,int_counts
1990,Henricia sanguinolenta,int_counts
1990,Hiatella arctica,int_counts
1990,Isopods,int_counts
1990,Littorina littorea,int_counts
1990,Littorina obtusata,int_counts
1990,Littorina saxatilis,int_counts
1990,Metridium senile,int_counts
1990,Modiolus modiolus,int_counts
1990,Mytilus edulis,int_counts
1990,Nematodes,int_counts
1990,Nemertean,int_counts
1990,Nucella lapillus,int_counts
1990,Nudibranchia,int_counts
1990,platyhelminthes,int_counts
1990,Polychaeta,int_counts
1990,Semibalanus balanoides,int_counts
1990,Spirorbis,int_counts
1990,Strongylocentrotus droebachiensis,int_counts
1990,Tectura testudinalis,int_counts
1991,Amphipoda,int_counts
1991,Anurida maritima,int_counts
1991,Asterias rubens,int_counts
1991,Carcinus maenus,int_counts
1991,Hiatella arctica,int_counts
1991,Isopods,int_counts
1991,Lacuna vincta,int_counts
1991,Littorina littorea,int_counts
1991,Littorina obtusata,int_counts
1991,Littorina saxatilis,int_counts
1991,Metridium senile,int_counts
1991,Modiolus modiolus,int_counts
1991,Mytilus edulis,int_counts
1991,Nematodes,int_counts
1991,Nucella lapillus,int_counts
1991,Ophiopholis,int_counts
1991,Polychaeta,int_counts
1991,Semibalanus balanoides,int_counts
1991,Spirorbis,int_counts
1991,Strongylocentrotus droebachiensis,int_counts
1991,Tectura testudinalis,int_counts
1992,Amphipoda,int_counts
1992,Anurida maritima,int_counts
1992,Asterias forbesi,int_counts
1992,Asterias rubens,int_counts
1992,Cancer borealis,int_counts
1992,Carcinus maenus,int_counts
1992,Dendronotus,int_counts
1992,Halacarus,int_counts
1992,Henricia sanguinolenta,int_counts
1992,Hiatella arctica,int_counts
1992,Idotea baltica,int_counts
1992,Isopods,int_counts
1992,Lacuna vincta,int_counts
1992,Littorina littorea,int_counts
1992,Littorina obtusata,int_counts
1992,Littorina saxatilis,int_counts
1992,Lycastopsis,int_counts
1992,Metridium senile,int_counts
1992,Modiolus modiolus,int_counts
1992,Mussel,int_counts
1992,Mya arenaria,int_counts
1992,Mytilus edulis,int_counts
1992,Nematodes,int_counts
1992,Nemertean,int_counts
1992,Nucella lapillus,int_counts
1992,Nudibranchia,int_counts
1992,Oligochaete,int_counts
1992,Ophiopholis,int_counts
1992,Polychaeta,int_counts
1992,Semibalanus balanoides,int_counts
1992,Spirorbis,int_counts
1992,Strongylocentrotus droebachiensis,int_counts
1992,Tectura testudinalis,int_counts
1993,Amphipoda,int_counts
1993,Anurida maritima,int_counts
1993,Carcinus maenus,int_counts
1993,copepods,int_counts
1993,Halacarus,int_counts
1993,Hiatella arctica,int_counts
1993,Isopods,int_counts
1993,Lacuna vincta,int_counts
1993,Littorina littorea,int_counts
1993,Littorina obtusata,int_counts
1993,Littorina saxatilis,int_counts
1993,Metridium senile,int_counts
1993,Modiolus modiolus,int_counts
1993,Mytilus edulis,int_counts
1993,Nematodes,int_counts
1993,Nemertean,int_counts
1993,Nucella lapillus,int_counts
1993,Nudibranchia,int_counts
1993,Oligochaete,int_counts
1993,platyhelminthes,int_counts
1993,Polychaeta,int_counts
1993,Semibalanus balanoides,int_counts
1993,Spirorbis,int_counts
1993,Strongylocentrotus droebachiensis,int_counts
1993,Tectura testudinalis,int_counts
1993,Tonicella rubra,int_counts
1994,Amphipoda,int_counts
1994,Anomia simplex,int_counts
1994,Anurida maritima,int_counts
1994,Asterias forbesi,int_counts
1994,Asterias rubens,int_counts
1994,Carcinus maenus,int_counts
1994,Diadumene lineata,int_counts
1994,Euplana,int_counts
1994,Halacarus,int_counts
1994,Henricia sanguinolenta,int_counts
1994,Hiatella arctica,int_counts
1994,Isopods,int_counts
1994,Lacuna vincta,int_counts
1994,Lepidonotus,int_counts
1994,Littorina littorea,int_counts
1994,Littorina obtusata,int_counts
1994,Littorina saxatilis,int_counts
1994,Metridium senile,int_counts
1994,Modiolus modiolus,int_counts
1994,Mytilus edulis,int_counts
1994,Nematodes,int_counts
1994,Nemertean,int_counts
1994,Nucella lapillus,int_counts
1994,Nudibranchia,int_counts
1994,Ophiopholis,int_counts
1994,Polychaeta,int_counts
1994,Semibalanus balanoides,int_counts
1994,Spirorbis,int_counts
1994,Strongylocentrotus droebachiensis,int_counts
1994,Tectura testudinalis,int_counts
1994,Tonicella rubra,int_counts
1995,Amphipoda,int_counts
1995,Anurida maritima,int_counts
1995,Asterias rubens,int_counts
1995,Carcinus maenus,int_counts
1995,Cerianthus,int_counts
1995,Halacarus,int_counts
1995,Hiatella arctica,int_counts
1995,Isopods,int_counts
1995,Lacuna vincta,int_counts
1995,Littorina littorea,int_counts
1995,Littorina obtusata,int_counts
1995,Littorina saxatilis,int_counts
1995,Metridium senile,int_counts
1995,Modiolus modiolus,int_counts
1995,Mytilus edulis,int_counts
1995,Nematodes,int_counts
1995,Nemertean,int_counts
1995,Nucella lapillus,int_counts
1995,Ophiopholis,int_counts
1995,Pagurus acadianus,int_counts
1995,Polychaeta,int_counts
1995,Semibalanus balanoides,int_counts
1995,Spirorbis,int_counts
1995,Strongylocentrotus droebachiensis,int_counts
1995,Tectura testudinalis,int_counts
1996,Amphipoda,int_counts
1996,Anurida maritima,int_counts
1996,Carcinus maenus,int_counts
1996,Isopods,int_counts
1996,Littorina littorea,int_counts
1996,Littorina obtusata,int_counts
1996,Littorina saxatilis,int_counts
1996,Metridium senile,int_counts
1996,Modiolus modiolus,int_counts
1996,Mytilus edulis,int_counts
1996,Nemertean,int_counts
1996,Nucella lapillus,int_counts
1996,Polychaeta,int_counts
1996,Semibalanus balanoides,int_counts
1996,Spirorbis,int_counts
1996,Strongylocentrotus droebachiensis,int_counts
1996,Tectura testudinalis,int_counts
1997,Amphipoda,int_counts
1997,Annelid,int_counts
1997,Anomia simplex,int_counts
1997,Anurida maritima,int_counts
1997,Asterias rubens,int_counts
1997,Carcinus maenus,int_counts
1997,Crepidula fornicata,int_counts
1997,Diadumene lineata,int_counts
1997,Halacarus,int_counts
1997,Isopods,int_counts
1997,Littorina littorea,int_counts
1997,Littorina obtusata,int_counts
1997,Littorina saxatilis,int_counts
1997,Metridium senile,int_counts
1997,Modiolus modiolus,int_counts
1997,Mytilus edulis,int_counts
1997,Nematodes,int_counts
1997,Nemertean,int_counts
1997,Nucella lapillus,int_counts
1997,Polychaeta,int_counts
1997,Semibalanus balanoides,int_counts
1997,Spirorbis,int_counts
1997,Strongylocentrotus droebachiensis,int_counts
1998,Amphipoda,int_counts
1998,Annelid,int_counts
1998,Anomia simplex,int_counts
1998,Anurida maritima,int_counts
1998,Asterias forbesi,int_counts
1998,Asterias rubens,int_counts
1998,Cancer borealis,int_counts
1998,Cancer irroratus,int_counts
1998,Carcinus maenus,int_counts
1998,Crepidula fornicata,int_counts
1998,Halacarus,int_counts
1998,Hiatella arctica,int_counts
1998,Idotea baltica,int_counts
1998,Isopods,int_counts
1998,Littorina littorea,int_counts
1998,Littorina obtusata,int_counts
1998,Littorina saxatilis,int_counts
1998,Metridium senile,int_counts
1998,Modiolus modiolus,int_counts
1998,Mytilus edulis,int_counts
1998,Nematodes,int_counts
1998,Nucella lapillus,int_counts
1998,Nudibranchia,int_counts
1998,Ophiopholis,int_counts
1998,platyhelminthes,int_counts
1998,Polychaeta,int_counts
1998,Semibalanus balanoides,int_counts
1998,Spirorbis,int_counts
1998,Strongylocentrotus droebachiensis,int_counts
1998,Tectura testudinalis,int_counts
1998,Tonicella rubra,int_counts
1998,Turbellarid,int_counts
1999,Amphipoda,int_counts
1999,Anurida maritima,int_counts
1999,Asterias rubens,int_counts
1999,Carcinus maenus,int_counts
1999,Halacarus,int_counts
1999,Hiatella arctica,int_counts
1999,Isopods,int_counts
1999,Littorina littorea,int_counts
1999,Littorina obtusata,int_counts
1999,Littorina saxatilis,int_counts
1999,Metridium senile,int_counts
1999,Modiolus modiolus,int_counts
1999,Mytilus edulis,int_counts
1999,Nematodes,int_counts
1999,Nemertean,int_counts
1999,Nucella lapillus,int_counts
1999,Polychaeta,int_counts
1999,Semibalanus balanoides,int_counts
1999,Spirorbis,int_counts
1999,Strongylocentrotus droebachiensis,int_counts
1999,Tectura testudinalis,int_counts
2000,Amphipoda,int_counts
2000,Annelid,int_counts
2000,Anomia simplex,int_counts
2000,Anurida maritima,int_counts
2000,Asterias forbesi,int_counts
2000,Asterias rubens,int_counts
2000,Cancer borealis,int_counts
2000,Cancer irroratus,int_counts
2000,Carcinus maenus,int_counts
2000,Hiatella arctica,int_counts
2000,Isopods,int_counts
2000,Lacuna vincta,int_counts
2000,Lepidonotus,int_counts
2000,Littorina littorea,int_counts
2000,Littorina obtusata,int_counts
2000,Littorina saxatilis,int_counts
2000,Metridium senile,int_counts
2000,Modiolus modiolus,int_counts
2000,Mytilus edulis,int_counts
2000,Nematodes,int_counts
2000,Nemertean,int_counts
2000,Nucella lapillus,int_counts
2000,Ophiopholis,int_counts
2000,Polychaeta,int_counts
2000,Semibalanus balanoides,int_counts
2000,Spirorbis,int_counts
2000,Strongylocentrotus droebachiensis,int_counts
2000,Tectura testudinalis,int_counts
2000,Tonicella rubra,int_counts
2001,Amphipoda,int_counts
2001,Anomia simplex,int_counts
2001,Anurida maritima,int_counts
2001,Asterias rubens,int_counts
2001,Carcinus maenus,int_counts
2001,Crepidula fornicata,int_counts
2001,Hiatella arctica,int_counts
2001,Isopods,int_counts
2001,Lacuna vincta,int_counts
2001,Littorina littorea,int_counts
2001,Littorina obtusata,int_counts
2001,Littorina saxatilis,int_counts
2001,Metridium senile,int_counts
2001,Modiolus modiolus,int_counts
2001,Mytilus edulis,int_counts
2001,Nematodes,int_counts
2001,Nemertean,int_counts
2001,Nucella lapillus,int_counts
2001,Semibalanus balanoides,int_counts
2001,Spirorbis,int_counts
2001,Strongylocentrotus droebachiensis,int_counts
2001,Tectura testudinalis,int_counts
2002,Amphipoda,int_counts
2002,Anomia simplex,int_counts
2002,Anurida maritima,int_counts
2002,Carcinus maenus,int_counts
2002,Halacarus,int_counts
2002,Isopods,int_counts
2002,Lacuna vincta,int_counts
2002,Littorina littorea,int_counts
2002,Littorina obtusata,int_counts
2002,Littorina saxatilis,int_counts
2002,Metridium senile,int_counts
2002,Modiolus modiolus,int_counts
2002,Mytilus edulis,int_counts
2002,Nematodes,int_counts
2002,Nucella lapillus,int_counts
2002,Semibalanus balanoides,int_counts
2002,Strongylocentrotus droebachiensis,int_counts
2002,Tectura testudinalis,int_counts
2003,Amphipoda,int_counts
2003,Anurida maritima,int_counts
2003,Asterias forbesi,int_counts
2003,Asterias rubens,int_counts
2003,Carcinus maenus,int_counts
2003,Halacarus,int_counts
2003,Isopods,int_counts
2003,Lacuna vincta,int_counts
2003,Littorina littorea,int_counts
2003,Littorina obtusata,int_counts
2003,Littorina saxatilis,int_counts
2003,Metridium senile,int_counts
2003,Modiolus modiolus,int_counts
2003,Mytilus edulis,int_counts
2003,Nematodes,int_counts
2003,Nucella lapillus,int_counts
2003,Semibalanus balanoides,int_counts
2003,Spirorbis,int_counts
2003,Strongylocentrotus droebachiensis,int_counts
2003,Tectura testudinalis,int_counts
2004,Amphipoda,int_counts
2004,Annelid,int_counts
2004,Anomia simplex,int_counts
2004,Anurida maritima,int_counts
2004,Asterias forbesi,int_counts
2004,Asterias rubens,int_counts
2004,Cancer borealis,int_counts
2004,Carcinus maenus,int_counts
2004,Crepidula fornicata,int_counts
2004,Halacarus,int_counts
2004,Henricia sanguinolenta,int_counts
2004,Isopods,int_counts
2004,Lacuna vincta,int_counts
2004,Littorina littorea,int_counts
2004,Littorina obtusata,int_counts
2004,Littorina saxatilis,int_counts
2004,Metridium senile,int_counts
2004,Modiolus modiolus,int_counts
2004,Mytilus edulis,int_counts
2004,Nemertean,int_counts
2004,Nucella lapillus,int_counts
2004,Ophiopholis,int_counts
2004,Pagurus acadianus,int_counts
2004,Semibalanus balanoides,int_counts
2004,Strongylocentrotus droebachiensis,int_counts
2004,Tectura testudinalis,int_counts
2005,Amphipoda,int_counts
2005,Anurida maritima,int_counts
2005,Asterias rubens,int_counts
2005,Cancer irroratus,int_counts
2005,Carcinus maenus,int_counts
2005,Halacarus,int_counts
2005,Isopods,int_counts
2005,Lacuna vincta,int_counts
2005,Littorina littorea,int_counts
2005,Littorina obtusata,int_counts
2005,Littorina saxatilis,int_counts
2005,Metridium senile,int_counts
2005,Mytilus edulis,int_counts
2005,Nematodes,int_counts
2005,Nucella lapillus,int_counts
2005,platyhelminthes,int_counts
2005,Semibalanus balanoides,int_counts
2005,Spirorbis,int_counts
2005,Strongylocentrotus droebachiensis,int_counts
2005,Tectura testudinalis,int_counts
2006,Amphipoda,int_counts
2006,Anomia simplex,int_counts
2006,Anurida maritima,int_counts
2006,Asterias rubens,int_counts
2006,Carcinus maenus,int_counts
2006,Halacarus,int_counts
2006,Hemigrapsus sanguineus,int_counts
2006,Hiatella arctica,int_counts
2006,Isopods,int_counts
2006,Lacuna vincta,int_counts
2006,Littorina littorea,int_counts
2006,Littorina obtusata,int_counts
2006,Littorina saxatilis,int_counts
2006,Lycastopsis,int_counts
2006,Metridium senile,int_counts
2006,Modiolus modiolus,int_counts
2006,Molgula,int_counts
2006,Mytilus edulis,int_counts
2006,Nematodes,int_counts
2006,Nemertean,int_counts
2006,Nucella lapillus,int_counts
2006,platyhelminthes,int_counts
2006,Polychaeta,int_counts
2006,Semibalanus balanoides,int_counts
2006,Spirorbis,int_counts
2006,Strongylocentrotus droebachiensis,int_counts
2006,Tectura testudinalis,int_counts
2008,Amphipoda,int_counts
2008,Anurida maritima,int_counts
2008,Littorina obtusata,int_counts
2008,Littorina saxatilis,int_counts
2008,Mytilus edulis,int_counts
2008,Nucella lapillus,int_counts
2008,Semibalanus balanoides,int_counts
2009,Amphipoda,int_counts
2009,Annelid,int_counts
2009,Anomia simplex,int_counts
2009,Anurida maritima,int_counts
2009,Asterias rubens,int_counts
2009,Carcinus maenus,int_counts
2009,Crepidula fornicata,int_counts
2009,Diadumene lineata,int_counts
2009,Hemigrapsus sanguineus,int_counts
2009,Hiatella arctica,int_counts
2009,Idotea baltica,int_counts
2009,Isopods,int_counts
2009,Lacuna vincta,int_counts
2009,Lepidonotus,int_counts
2009,Littorina littorea,int_counts
2009,Littorina obtusata,int_counts
2009,Littorina saxatilis,int_counts
2009,Metridium senile,int_counts
2009,Modiolus modiolus,int_counts
2009,Mytilus edulis,int_counts
2009,Nematodes,int_counts
2009,Nemertean,int_counts
2009,Nucella lapillus,int_counts
2009,Semibalanus balanoides,int_counts
2009,Spirorbis,int_counts
2009,Strongylocentrotus droebachiensis,int_counts
2009,Tectura testudinalis,int_counts
2010,Amphipoda,int_counts
2010,Annelid,int_counts
2010,Anomia simplex,int_counts
2010,Anurida maritima,int_counts
2010,Asterias rubens,int_counts
2010,Carcinus maenus,int_counts
2010,Diadumene lineata,int_counts
2010,Halacarus,int_counts
2010,Hemigrapsus sanguineus,int_counts
2010,Hiatella arctica,int_counts
2010,Idotea baltica,int_counts
2010,Isopods,int_counts
2010,Lacuna vincta,int_counts
2010,Littorina littorea,int_counts
2010,Littorina obtusata,int_counts
2010,Littorina saxatilis,int_counts
2010,Metridium senile,int_counts
2010,Modiolus modiolus,int_counts
2010,Mytilus edulis,int_counts
2010,Nucella lapillus,int_counts
2010,Ophiopholis,int_counts
2010,Pagurus acadianus,int_counts
2010,Polychaeta,int_counts
2010,Semibalanus balanoides,int_counts
2010,Spirorbis,int_counts
2010,Strongylocentrotus droebachiensis,int_counts
2010,Tectura testudinalis,int_counts
2011,Amphipoda,int_counts
2011,Anurida maritima,int_counts
2011,Cancer borealis,int_counts
2011,Carcinus maenus,int_counts
2011,Halacarus,int_counts
2011,Hemigrapsus sanguineus,int_counts
2011,Isopods,int_counts
2011,Littorina littorea,int_counts
2011,Littorina obtusata,int_counts
2011,Littorina saxatilis,int_counts
2011,Metridium senile,int_counts
2011,Modiolus modiolus,int_counts
2011,Mytilus edulis,int_counts
2011,Nemertean,int_counts
2011,Nucella lapillus,int_counts
2011,Pagurus acadianus,int_counts
2011,Semibalanus balanoides,int_counts
2012,Amphipoda,int_counts
2012,Anurida maritima,int_counts
2012,Carcinus maenus,int_counts
2012,Diadumene lineata,int_counts
2012,Halacarus,int_counts
2012,Hiatella arctica,int_counts
2012,Idotea baltica,int_counts
2012,Lacuna vincta,int_counts
2012,Littorina littorea,int_counts
2012,Littorina obtusata,int_counts
2012,Littorina saxatilis,int_counts
2012,Metridium senile,int_counts
2012,Modiolus modiolus,int_counts
2012,Mytilus edulis,int_counts
2012,Nematodes,int_counts
2012,Nemertean,int_counts
2012,Nucella lapillus,int_counts
2012,Semibalanus balanoides,int_counts
2012,Spirorbis,int_counts
2012,Tectura testudinalis,int_counts
2013,Amphipoda,int_counts
2013,Anurida maritima,int_counts
2013,Carcinus maenus,int_counts
2013,Halacarus,int_counts
2013,Isopods,int_counts
2013,Littorina littorea,int_counts
2013,Littorina obtusata,int_counts
2013,Littorina saxatilis,int_counts
2013,Metridium senile,int_counts
2013,Modiolus modiolus,int_counts
2013,Nucella lapillus,int_counts
2013,Semibalanus balanoides,int_counts
2013,Strongylocentrotus droebachiensis,int_counts
2013,Tectura testinalis,int_counts
2013,Tectura testudinalis,int_counts
2014,Amphipoda,int_counts
2014,Anomia simplex,int_counts
2014,Anurida maritima,int_counts
2014,Astyris lunata,int_counts
2014,Carcinus maenus,int_counts
2014,Crepidula fornicata,int_counts
2014,Diadumene lineata,int_counts
2014,Hemigrapsus sanguineus,int_counts
2014,Hiatella arctica,int_counts
2014,Idotea baltica,int_counts
2014,Littorina littorea,int_counts
2014,Littorina obtusata,int_counts
2014,Littorina saxatilis,int_counts
2014,Metridium senile,int_counts
2014,Nucella lapillus,int_counts
2014,Ostrea edulis,int_counts
2014,Tectura testinalis,int_counts
2015,Anomia simplex,int_counts
2015,Anurida maritima,int_counts
2015,Carcinus maenus,int_counts
2015,Diadumene lineata,int_counts
2015,Hiatella arctica,int_counts
2015,Idotea baltica,int_counts
2015,Littorina littorea,int_counts
2015,Littorina obtusata,int_counts
2015,Littorina saxatilis,int_counts
2015,Metridium senile,int_counts
2015,Nucella lapillus,int_counts
2015,Pagurus acadianus,int_counts
2015,Spirorbis,int_counts
2015,Strongylocentrotus droebachiensis,int_counts
2016,Amphipoda,int_counts
2016,Anurida maritima,int_counts
2016,Astyris lunata,int_counts
2016,Cancer borealis,int_counts
2016,Carcinus maenus,int_counts
2016,Crepidula fornicata,int_counts
2016,Diadumene lineata,int_counts
2016,Hemigrapsus sanguineus,int_counts
2016,Hiatella arctica,int_counts
2016,Idotea balthica,int_counts
2016,Isopods,int_counts
2016,Lacuna vincta,int_counts
2016,Littorina littorea,int_counts
2016,Littorina obtusata,int_counts
2016,Littorina saxatilis,int_counts
2016,Metridium senile,int_counts
2016,Modiolus modiolus,int_counts
2016,Mytilus edulis,int_counts
2016,Nucella lapillus,int_counts
2016,Semibalanus balanoides,int_counts
2016,Strongylocentrotus droebachiensis,int_counts
2016,Tectura testudinalis,int_counts
2017,Amphipoda,int_counts
2017,Anurida maritima,int_counts
2017,Carcinus maenus,int_counts
2017,Crepidula fornicata,int_counts
2017,Diadumene lineata,int_counts
2017,Flustrellidra hispida,int_counts
2017,Hemigrapsus sanguineus,int_counts
2017,Idotea balthica,int_counts
2017,Isopods,int_counts
2017,Littorina littorea,int_counts
2017,Littorina obtusata,int_counts
2017,Littorina saxatilis,int_counts
2017,Metridium senile,int_counts
2017,Modiolus modiolus,int_counts
2017,Mytilus edulis,int_counts
2017,Nucella lapillus,int_counts
2017,Semibalanus balanoides,int_counts
2017,Strongylocentrotus droebachiensis,int_counts
2017,Tectura testudinalis,int_counts
1998,Acrosiphonia,int_cover
2009,Acrosiphonia,int_cover
2015,Acrosiphonia,int_cover
1983,Ahnfeltia plicata,int_cover
1987,Ahnfeltia plicata,int_cover
1992,Ahnfeltia plicata,int_cover
1994,Ahnfeltia plicata,int_cover
1998,Ahnfeltia plicata,int_cover
2004,Ahnfeltia plicata,int_cover
2006,Ahnfeltia plicata,int_cover
2009,Ahnfeltia plicata,int_cover
2010,Ahnfeltia plicata,int_cover
2012,Ahnfeltia plicata,int_cover
