"","X.2","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X.1","X.x","species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","Steneck_Dethier_morphology_algae","body_size_avg_bin","morphology1","benthic","epibiotic","intertidal","subtidal","Historical.Abundance.x","Current.Abundance.x","POP","X.y","X1982","X1998","X2009","X2015","X1983","X1987","X1992","X1994","X2004","X2006","X2010","X2012","X2013","X1984","X1986","X1988","X1989","X1990","X1991","X1993","X1995","X1996","X1997","X1999","X2000","X2001","X2002","X2003","X2005","X1985","X2008","X2011","X2014","X2016","X2017","Current.Abundance.y","position.x","Historical.Abundance.y","position.y"
"16",21,-0.139235728941735,-0.717562214901907,-0.545508927893167,-0.53073157214773,0.0847725135678323,21,21,21,"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","yes","yes",0.71,0.490769231,"C",53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"sheltered"
"17",24,-0.10167627461364,0.0706298080162507,-0.730666025336086,-0.301951525364427,0.0882323047513314,24,24,24,"Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","Subcanopy","yes","yes","yes","yes",0.8,0.546153846,"C",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"exposed"
"18",24,-0.10167627461364,0.0706298080162507,-0.730666025336086,-0.301951525364427,0.0882323047513314,24,24,24,"Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","Subcanopy","yes","yes","yes","yes",0.8,0.546153846,"C",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"sheltered"
"19",24,-0.10167627461364,0.0706298080162507,-0.730666025336086,-0.301951525364427,0.0882323047513314,24,24,24,"Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","Subcanopy","yes","yes","yes","yes",0.8,0.546153846,"C",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"exposed"
"20",24,-0.10167627461364,0.0706298080162507,-0.730666025336086,-0.301951525364427,0.0882323047513314,24,24,24,"Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","Subcanopy","yes","yes","yes","yes",0.8,0.546153846,"C",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"sheltered"
"21",25,-0.484655773007429,-0.0379122266153782,0.681042366179516,-0.14465937599574,-0.203153106094479,25,25,25,"Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","yes","yes",0.83,0.564615385,"C",83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.000743,"exposed",0.092013982,"exposed"
"22",25,-0.484655773007429,-0.0379122266153782,0.681042366179516,-0.14465937599574,-0.203153106094479,25,25,25,"Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","yes","yes",0.83,0.564615385,"C",83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.000743,"exposed",0.191478415,"sheltered"
"23",25,-0.484655773007429,-0.0379122266153782,0.681042366179516,-0.14465937599574,-0.203153106094479,25,25,25,"Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","yes","yes",0.83,0.564615385,"C",83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.023323305,"sheltered",0.092013982,"exposed"
"24",25,-0.484655773007429,-0.0379122266153782,0.681042366179516,-0.14465937599574,-0.203153106094479,25,25,25,"Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","yes","yes",0.83,0.564615385,"C",83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.023323305,"sheltered",0.191478415,"sheltered"
"25",30,-0.0841951244228716,0.153375313910026,-0.843704421993426,0.155431711760884,-1.04901205548671,30,30,30,"Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","yes","yes","yes",0.6,0.656923077,"C",119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"exposed"
"26",30,-0.0841951244228716,0.153375313910026,-0.843704421993426,0.155431711760884,-1.04901205548671,30,30,30,"Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","yes","yes","yes",0.6,0.656923077,"C",119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"sheltered"
"27",30,-0.0841951244228716,0.153375313910026,-0.843704421993426,0.155431711760884,-1.04901205548671,30,30,30,"Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","yes","yes","yes",0.6,0.656923077,"C",119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"exposed"
"28",30,-0.0841951244228716,0.153375313910026,-0.843704421993426,0.155431711760884,-1.04901205548671,30,30,30,"Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","yes","yes","yes",0.6,0.656923077,"C",119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"sheltered"
"29",32,-0.440997964873174,0.810129930986163,0.606170339484388,-0.32450715250321,0.084583147307355,32,32,32,"Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","yes","no",0.1,0.693846154,"C",121,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,"exposed",0.02863673,"exposed"
"30",32,-0.440997964873174,0.810129930986163,0.606170339484388,-0.32450715250321,0.084583147307355,32,32,32,"Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","yes","no",0.1,0.693846154,"C",121,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,"exposed",0.133950704,"sheltered"
"31",32,-0.440997964873174,0.810129930986163,0.606170339484388,-0.32450715250321,0.084583147307355,32,32,32,"Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","yes","no",0.1,0.693846154,"C",121,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0.033889232,"sheltered",0.02863673,"exposed"
"32",32,-0.440997964873174,0.810129930986163,0.606170339484388,-0.32450715250321,0.084583147307355,32,32,32,"Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","yes","no",0.1,0.693846154,"C",121,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0.033889232,"sheltered",0.133950704,"sheltered"
"33",35,-0.224532490426057,-0.000229223950651477,-0.0311625963515048,-0.328993806871107,0.0344914654080863,35,35,35,"Porphyra","Algae","Red Algae","Turf","foliose algae","large","Turf","yes","no","yes","yes",0.6,0.749230769,"C",126,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0.000446,"exposed",0,"exposed"
"34",35,-0.224532490426057,-0.000229223950651477,-0.0311625963515048,-0.328993806871107,0.0344914654080863,35,35,35,"Porphyra","Algae","Red Algae","Turf","foliose algae","large","Turf","yes","no","yes","yes",0.6,0.749230769,"C",126,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0.000446,"exposed",0,"sheltered"
"35",35,-0.224532490426057,-0.000229223950651477,-0.0311625963515048,-0.328993806871107,0.0344914654080863,35,35,35,"Porphyra","Algae","Red Algae","Turf","foliose algae","large","Turf","yes","no","yes","yes",0.6,0.749230769,"C",126,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,"sheltered",0,"exposed"
"36",35,-0.224532490426057,-0.000229223950651477,-0.0311625963515048,-0.328993806871107,0.0344914654080863,35,35,35,"Porphyra","Algae","Red Algae","Turf","foliose algae","large","Turf","yes","no","yes","yes",0.6,0.749230769,"C",126,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,"sheltered",0,"sheltered"
