"species","body_size_avg_bin","morphology1","benthic","epibiotic","intertidal","subtidal","species_id","POP","Historical.Abundance","Current.Abundance","D1","D2","D3","D4"
"Lithophyllum ",5,0,1,0,0,1,27,"C",0.1,0.601538462,-0.798255143785341,-0.0482107367681983,-1.18052022296911,-0.413751055629836
"Lithothamnion",5,0,1,0,0,1,28,"C",0.2,0.62,-0.798255143785341,-0.0482107367681983,-1.18052022296911,-0.413751055629836
"Mastocarpus stellatus",5,2,1,0,1,1,29,"C",0.1,0.638461538,-0.788035702089039,0.693671555195793,1.43591627162133,0.591204009134953
"Palmaria palmata",4,2,1,1,1,1,30,"C",0.6,0.656923077,0.0273833739078978,0.653440795695132,1.44030899830351,-0.202567859550486
"Phycodrys rubens",5,2,1,0,0,1,31,"C",0.6,0.675384615,-1.37476179001367,0.329373308308911,0.441621052935772,-0.702206775034273
"Phymatolithon lenormandii",5,0,1,1,1,0,32,"C",0.1,0.693846154,1.63202231499327,1.54734179268141,-0.682534577881254,0.551972784851807
"Polyides rotunda",5,0,1,0,0,1,33,"C",0.41,0.712307692,-0.798255143785341,-0.0482107367681983,-1.18052022296911,-0.413751055629836
"Polysiphonia",4,0,1,1,1,1,34,"C",0.1,0.730769231,0.603890020136224,0.275856750618023,-0.181832277601366,0.085887859853951
"Porphyra",1,0,1,0,1,1,35,"C",0.6,0.749230769,-0.156422633454469,-0.159855252610439,-0.146477908772202,1.20870060701878
"Ptilota serrata",4,2,1,0,1,1,36,"C",0.6,0.767692308,-0.788035702089039,0.693671555195793,1.43591627162133,0.591204009134953
"Spermothamnion repens",2,0,1,1,0,1,37,"C",0.1,0.786153846,0.0171639322115964,-0.0884414962688596,-1.17612749628693,-1.20752292431527
"Titanoderma",7,0,1,0,0,1,38,"C",0.41,0.804615385,-0.798255143785341,-0.0482107367681983,-1.18052022296911,-0.413751055629836
