species,group,common_name_division_bgr,body_size_avg_bin,morphology1,dietary_pref_c,trophic_level,motility_juv,motility_adult,benthic,epibiotic,invasive,intertidal,subtidal,species_id
Halichondria panicea,Invertebrate,Sponge,4,1,1,3,3,1,2,2,1,1,2,46
Halisarca dujardinii,Invertebrate,Sponge,4,1,1,3,3,1,2,2,1,1,2,47
Hymedesmia,Invertebrate,Sponge,4,1,1,3,3,1,2,2,1,1,2,48
Leucosolenia,Invertebrate,Sponge,4,2,1,3,3,1,2,2,1,1,2,49
Aplidium pallidum,Invertebrate,Tunicate,3,1,1,3,2,2,1,1,1,1,2,50
Boltenia echinata,Invertebrate,Tunicate,2,1,1,3,3,1,2,2,1,1,2,51
Boltenia ovifera,Invertebrate,Tunicate,3,1,1,3,3,1,2,2,1,1,2,52
Botrylloides violaceus,Invertebrate,Tunicate,4,1,1,3,3,1,2,2,2,1,2,53
Botryllus schlosseri,Invertebrate,Tunicate,4,1,1,3,3,1,2,2,2,2,2,54
Ciona intestinalis,Invertebrate,Tunicate,3,1,1,3,3,1,2,2,2,1,2,55
Ciona savignyi,Invertebrate,Tunicate,4,1,1,3,1,1,1,2,2,1,2,56
Dendrodoa carnea,Invertebrate,Tunicate,2,1,1,3,3,1,2,2,1,1,2,57
Didemnum albidum,Invertebrate,Tunicate,2,1,1,3,3,1,2,2,1,1,2,58
Didemnum vexillum,Invertebrate,Tunicate,2,1,1,3,1,1,2,2,2,2,2,59
Diplosoma listerianum,Invertebrate,Tunicate,1,1,1,3,3,1,2,2,2,1,2,60
Cyclopterus lumpus,Vertebrate,Fish,7,1,5,4,2,3,2,1,1,1,2,61
Morone saxatilis,Vertebrate,Fish,7,1,5,4,2,3,2,1,1,1,2,62
Myoxocephalus octodecemspinosus,Vertebrate,Fish,5,1,5,4,2,3,2,1,1,1,2,63
Myoxocephalus scorpius,Vertebrate,Fish,6,1,5,4,2,3,2,1,1,1,2,64
Pholis gunnellus,Vertebrate,Fish,4,1,5,4,2,3,2,1,1,1,2,65
Pollachius virens,Vertebrate,Fish,7,1,5,4,2,3,2,1,1,1,2,66
Pseudopleuronectes americanus,Vertebrate,Fish,6,1,5,4,2,3,2,1,1,1,2,67
Tautoga onitis,Vertebrate,Fish,6,1,5,4,2,3,2,1,1,1,2,68
Tautogolabrus adspersus,Vertebrate,Fish,5,1,5,4,2,3,2,1,1,1,2,69
Urophycis regia,Vertebrate,Fish,5,1,5,4,2,3,2,1,1,1,2,70
