"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal"
"32",-0.543483680172439,-0.251017889743255,0.0449005886776881,0.319644411193676,0.466658055680925,32,74,"Crepidula fornicata","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","sessile","sessile","yes","yes","no","yes","yes"
"33",-0.573710232880541,0.693130605485261,-0.376400159296894,0.443522914760805,-0.230146686185388,33,75,"Lacuna vincta","Invertebrate","Gastropod","small","calcareous","filter-suspension","primary consumer","motile","motile","no","yes","no","yes","no"
"34",-0.653898539109717,0.917641019814917,-0.395697061093383,0.322160202410623,0.314536672533885,34,76,"Littorina littorea","Invertebrate","Gastropod","small-medium","calcareous","herbivore","primary consumer","motile","motile","no","yes","yes","yes","no"
"35",-0.549466504657215,1.05453053716983,-0.464211958924875,0.580294464688496,-0.442490754213704,35,77,"Littorina obtusata","Invertebrate","Gastropod","small","calcareous","herbivore","primary consumer","motile","motile","no","yes","no","yes","no"
"36",-0.155749086570747,0.994518326165979,-0.146274595927362,0.102524477103722,-0.0834024276340948,36,78,"Littorina saxatilis","Invertebrate","Gastropod","small-medium","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","yes","no"
"37",0.0053979482809914,0.791643204220151,-0.418862833812821,0.101736192675081,0.342606177651413,37,79,"Nucella lapillus","Invertebrate","Gastropod","small-medium","calcareous","predator","secondary consumer","motile","motile","no","yes","no","yes","no"
"38",-0.189727869754425,1.03441629606364,-0.250496049720282,0.32577892329729,-0.549967599203615,38,80,"Tectura testudinalis","Invertebrate","Gastropod","small","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","yes","no"
"39",-0.379610263243222,-0.211776560327123,0.178918230260997,-0.258798562064446,0.00658674988608407,39,81,"Testudinalia testudinalis","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"40",-0.379610263243222,-0.211776560327123,0.178918230260997,-0.258798562064446,0.00658674988608407,40,82,"Thylacodes","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"41",-0.0287527153486155,-1.04064720391796,0.270297892590915,1.92092464286462,0.677371119921873,41,83,"Obelia","Invertebrate","Hydrozoan","medium-large","soft","filter-suspension","primary consumer","sessile","both","yes","yes","no","no","yes"
"42",-0.825208815731428,0.301817872381957,-0.395759191293146,0.364025046508346,0.175372856749558,42,84,"Spirorbis","Invertebrate","Polychaete","very small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no"
"43",0.475235394906888,0.488214439246006,-0.0498733303545169,-0.297872740324973,0.26730712699921,43,85,"Asterias forbesi","Invertebrate","Sea Stars","small-medium","calcareous","predator","secondary consumer","motile","motile","yes","no","no","yes","yes"
"44",0.673752037952326,0.402159841189555,0.0456992745873485,0.0154277851436863,0.161518385912257,44,86,"Asterias rubens","Invertebrate","Sea Stars","medium-large","calcareous","predator","secondary consumer","motile","motile","yes","no","no","yes","yes"
"45",-0.0698940030709663,0.349803870613452,0.0968107979543312,-0.179340464432817,0.161119434731928,45,87,"Henricia sanguinolenta","Invertebrate","Sea Stars","small-medium","calcareous","filter-suspension","primary consumer","motile","motile","yes","no","no","yes","yes"
"46",-0.251990345357219,-0.666927061379549,0.0804716588766887,-0.217025400707201,-0.255382157075554,46,88,"Halichondria panicea","Invertebrate","Sponge","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"47",-0.251990345357219,-0.666927061379549,0.0804716588766887,-0.217025400707201,-0.255382157075554,47,89,"Halisarca dujardinii","Invertebrate","Sponge","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"48",-0.251990345357219,-0.666927061379549,0.0804716588766887,-0.217025400707201,-0.255382157075554,48,90,"Hymedesmia","Invertebrate","Sponge","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"49",-0.371077501153648,-0.433894708139176,0.165600320726994,-0.32681874118191,-0.252362026913166,49,91,"Leucosolenia","Invertebrate","Sponge","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"50",0.328506414714728,-0.29017145964882,-0.392040305641901,0.731154506001688,0.434265358561251,50,92,"Aplidium pallidum","Invertebrate","Tunicate","small-medium","soft","filter-suspension","primary consumer","errant","errant","no","no","no","no","yes"
"51",-0.294501890630471,-0.404910943669833,-0.0104318853822278,0.0742492246038308,-0.462998551845823,51,93,"Boltenia echinata","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"52",-0.260523107446793,-0.444808913567495,0.093789568410692,-0.149005221589737,0.00356661972369656,52,94,"Boltenia ovifera","Invertebrate","Tunicate","small-medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"53",-0.390401162993399,-0.763918608836803,0.0447651029152608,-0.251905216791506,0.035080098102516,53,95,"Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"54",-0.504908981391373,-0.543717214306395,-0.0586159147253687,-0.236499303073763,0.168376923680242,54,96,"Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes"
"55",-0.398933925082973,-0.541800461024749,0.0580830124492641,-0.183885037674042,0.294028874901766,55,97,"Ciona intestinalis","Invertebrate","Tunicate","small-medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"56",-0.562284140789022,-0.890484360356234,-0.16166695509992,0.577198716931674,0.473082751910457,56,98,"Ciona savignyi","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","sessile","sessile","no","yes","yes","no","yes"
"57",-0.294501890630471,-0.404910943669833,-0.0104318853822278,0.0742492246038308,-0.462998551845823,57,99,"Dendrodoa carnea","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"58",-0.294501890630471,-0.404910943669833,-0.0104318853822278,0.0742492246038308,-0.462998551845823,58,100,"Didemnum albidum","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"59",-0.596786125195867,-0.541143820543219,-0.180156082926964,0.617812381777648,0.287535009127087,59,101,"Didemnum vexillum","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","sessile","sessile","yes","yes","yes","yes","yes"
"60",-0.497408468185718,-0.664598919141142,-0.0821443631380371,0.0123723913893585,0.250467776934394,60,102,"Diplosoma listerianum","Invertebrate","Tunicate","very small","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"61",1.37276397090064,-0.182063745907186,-0.415217717950629,-0.00235000533938514,-0.0844431572539195,61,103,"Cyclopterus lumpus","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"62",1.37276397090064,-0.182063745907184,-0.415217717950628,-0.00235000533938748,-0.0844431572539223,62,104,"Morone saxatilis","Vertebrate","Fish","very large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"63",1.22007218297787,-0.145092608784042,-0.101031708744614,0.228335012973748,0.0439036299758008,63,105,"Myoxocephalus octodecemspinosus","Vertebrate","Fish","medium-large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"64",1.37276397090064,-0.182063745907186,-0.415217717950629,-0.00235000533938514,-0.0844431572539195,64,106,"Myoxocephalus scorpius","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"65",1.030088302022,-0.281156158539645,-0.209922223220483,-0.152985691612375,-0.109256405736496,65,107,"Pholis gunnellus","Vertebrate","Fish","medium","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"66",1.37276397090064,-0.182063745907184,-0.415217717950628,-0.00235000533938748,-0.0844431572539223,66,108,"Pollachius virens","Vertebrate","Fish","very large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"67",1.37276397090064,-0.182063745907186,-0.415217717950629,-0.00235000533938514,-0.0844431572539195,67,109,"Pseudopleuronectes americanus","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"68",1.37276397090064,-0.182063745907186,-0.415217717950629,-0.00235000533938514,-0.0844431572539195,68,110,"Tautoga onitis","Vertebrate","Fish","large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"69",1.22007218297787,-0.145092608784042,-0.101031708744614,0.228335012973748,0.0439036299758008,69,111,"Tautogolabrus adspersus","Vertebrate","Fish","medium-large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
"70",1.22007218297787,-0.145092608784042,-0.101031708744614,0.228335012973748,0.0439036299758008,70,112,"Urophycis regia","Vertebrate","Fish","medium-large","soft","predator","secondary consumer","errant","motile","yes","no","no","no","yes"
