species,phylum,group,common_name_division_bgr,macroalgae,erect_morphology_growth_form,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,articulated_external_morphology,branched_external_morphology,saccate_external_morphology,corticated_internal_anatomy,physical_defenses_calcification,space_use_canopy,space_use_sub_canopy,space_use_turf,turf_subcanopy_canopy_algae,potential_asexual_reproduction,maximun_longevity,size_categories,epilithic_use_space,epiphytic_env_position,epizoic_env_position,epifloral_env_position,epibiotic_env_position,intertidal,subtidal,area,feeding,trophic_level,growth_rate,notes,Source,Wikipedia,,,refined_search,common_name_division,synonym,chemical_defenses,solitary_colonial,unattached_use_space,turf_encrusting_space_use
Petalonia fascia,Ochrophyta,Algae,Brown Algae,yes,yes,yes,yes,yes,no,no,no,no,no,,non-calcareous,no ,yes,yes,Turf,yes,perennial,100-500 mm,yes,yes,no,no,yes,yes,no,intertidal,autotroph,primary producer,very high (>15 cm/year),,,,,,https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/cryptogamie-algologie2013v33f1a1.pdf,Brown Algae,,,,no,no 
Cladostephus spongiosus,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,yes,Subcanopy,yes,perennial (one-ten years),100-500 mm,yes,no,no,no,no,yes,no,shared,autotroph,primary producer,,"conflict between worms and mauffrey et al whther it is turf or canopy. worms says canopy, Mauffrey et al says turf.",,,,,,Brown Algae,,,,no,no 
Agarum clathratum,Ochrophyta,Algae,Brown Algae,yes,no,yes,no,no,no,yes,no,no,no,,non-calcareous,yes,yes,no ,Canopy,yes,perennial (one-ten years),>500 mm,yes,no,no,no,no,no,yes,subtidal,autotroph,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157207,,,,,Brown Algae,,yes,,no,no 
Colpomenia peregrina,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,yes,no,no,no,yes,yes,non-calcareous,no ,yes,no ,Subcanopy,no,ephemeral (less than a year or annual),10-100 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,high (5-15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145856,,,,,Brown Algae,,,,no,no 
Desmarestia aculeata,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,yes,yes,no ,Subcanopy,no,perennial (one-ten years),>500 mm,yes,no,no,no,no,no,yes,subtidal,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145307#attributes,,,,,Brown Algae,,,,no,no 
Desmarestia viridis,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,yes,yes,no ,Subcanopy,no,ephemeral (less than a year or annual),>500 mm,yes,no,no,no,no,no,yes,subtidal,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145310#attributes,,,,,Brown Algae,,yes,,yes,no 
Halosiphon tomentosus,Ochrophyta,Algae,Brown Algae,yes,yes,no,yes,no,no,no,no,yes,no,,non-calcareous,yes,yes,no ,Subcanopy,yes,ephemeral (less than a year or annual),>500 mm,yes,no,yes,no,yes,no,yes,subtidal,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145723#attributes,,,,,Brown Algae,,,,no,no 
Laminaria digitata,Ochrophyta,Algae,Brown Algae,yes,yes,no,yes,no,no,yes,no,yes,no,,non-calcareous,yes,no ,yes,Canopy,yes,perennial (one-ten years),>500 mm,yes,yes,no,yes,yes,no,yes,subtidal,autotroph,primary producer,very high (>15 cm/year),BIOTIC/marlin,,WoRMS has weird numbers,,,,Brown Algae,,yes,,no,no 
Saccharina latissima,Ochrophyta,Algae,Brown Algae,yes,yes,no,yes,no,no,yes,no,yes,no,,non-calcareous,yes,no ,yes,Canopy,no,perennial,>500 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,very high (>15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234483#attributes,,,,,Brown Algae,,,,no,no 
Saccorhiza dermatodea,Ochrophyta,Algae,Brown Algae,yes,yes,no,yes,no,no,no,no,yes,no,,non-calcareous,yes,no ,yes,Canopy,no,ephemeral (less than a year or annual),>500 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145734#attributes,,,,,Brown Algae,,,,no,no 
Ceramium virgatum,Rhodophyta,Algae,Red Algae,yes,no,no,yes,no,no,no,no,yes,no,yes,non-calcareous,yes,yes,yes,Subcanopy,no,perennial,100-500 mm,yes,yes,yes,yes,yes,yes,yes,shared,autotroph,primary producer,,"worms lists as turf, subcanopy, and canopy",https://www.marinespecies.org/aphia.php?p=taxdetails&id=178915#attributes,,,,,Red Erect Algae,,,,no,no 
Plumaria plumosa,Rhodophyta,Algae,Red Algae,yes,no,no,yes,no,no,no,no,yes,no,yes,non-calcareous,no ,no ,yes,Turf,yes,perennial,100-500 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,,,,,,,,Red Erect Algae,,,,no,no 
Vertebrata lanosa,Rhodophyta,Algae,Red Algae,yes,no,no,yes,no,no,no,no,yes,no,,non-calcareous,no ,yes,yes,Subcanopy,no,perennial,10-100 mm,yes,yes,no,no,yes,yes,no,intertidal,autotroph,primary producer,,,,,,,,Red Erect Algae,,,,no,no 
Corallina officinalis,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,yes,yes,no,,calcareous,no ,yes,yes,Turf,yes,perennial (one-ten years),100-500 mm,yes,yes,yes,yes,yes,yes,no,intertidal,autotroph,primary producer,moderate (>1 cm/year),"calcified, provides substratum for various epiphytes, and supports a diverse, species rich invertebrate community due to its provision of interstices and build up of sediment within its fronds. Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145108#attributes,,,,,Red Coralline Algae,,,,no,no 
Leptophytum acervatum,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,no,no,no,calcareous,no ,no ,yes,Turf,yes,perennial,,yes,yes,no,no,yes,no,yes,subtidal,autotroph,primary producer,,It is a south African algae ? is it correct that is in our data set,"Algaebase, WoRMS",,,,https://www.researchgate.net/publication/269893410_Three_melobesioid_crustose_coralline_red_algae_from_South_Africa_Leptophytum_acervatum_Foslie_comb_nov_L_foveatum_sp_nov_and_L_ferox_Foslie_comb_nov,Red Coralline Algae,,,,no,yes
Lithophyllum ,Rhodophyta,Algae,Red Algae,,no,no,no,yes,,no,no,no,no,no,calcareous,no ,no ,yes,Turf,,,,,,,,no,no,yes,subtidal,autotroph,primary producer,extreme slow (<1cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144016#attributes,,,,,Red Coralline Algae,,,,,yes
Lithothamnion,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,no,no,no,calcareous,no ,no ,yes,Turf,,,,,,,,no,no,yes,subtidal,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=375853#attributes,,,,,Red Coralline Algae,"Mesophyllum crassiusculum (Foslie) Lebednik, 2004",,,,yes
Phymatolithon lenormandii,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,no,no,no,calcareous,no ,no ,yes,Turf,yes,perennial,10-100 mm,yes,yes,yes,no,yes,yes,no,intertidal,autotroph,primary producer,extreme slow (<1cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145202#attributes,,,,,Red Coralline Algae,,,,no,yes
Titanoderma,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,no,no,no,calcareous,no ,no ,yes,Turf,yes,perennial,,yes,yes,yes,no,yes,no,yes,subtidal,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144027#attributes,,,,,Red Coralline Algae,,,,no,yes
Clathromorphum circumscriptum,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,no,no,no,calcareous,no ,no ,yes,Turf,yes,perennial,100-500 mm,yes,no,no,no,no,yes,yes,shared,autotroph,primary producer,extreme slow (<1cm/year),,,,,,,Red Crust Algae,,,,no,yes
Hildenbrandia rubra,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,no,no,no,non-calcareous,no ,no ,yes,Turf,yes,perennial,100-500 mm,yes,no,yes,no,yes,yes,yes,shared,autotroph,primary producer,extreme slow (<1cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145712,,,,,Red Crust Algae,,,,no,yes
Dumontia contorta,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,no,no,no,yes,non-calcareous,no ,yes,no ,Subcanopy,no,perennial,100-500 mm,yes,yes,no,no,yes,subtidal,no,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145228#attributes,,,,,Red Erect Algae,,,,,
Bonnemaisonia hamifera,Rhodophyta,Algae,Red Algae,yes,yes,no,yes,no,no,no,no,yes,no,,non-calcareous,no ,yes,yes,Turf,yes,perennial (one-ten years),100-500 mm,yes,yes,yes,no,yes,shared,yes,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144442#attributes,,,,,Red Erect Algae,,,,,
Ceramium,Rhodophyta,Algae,Red Algae,yes,,,,,,,,,,,,,,,Canopy,,,,,,,,,subtidal,no,yes,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144217#attributes,,,,,Red Erect Algae,,,,,
Chondrus crispus,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,yes,Subcanopy,no,perennial,100-500 mm,yes,no,no,no,no,shared,yes,yes,autotroph,primary producer,high (5-15 cm/year),BIOTIC/marlin,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145625#attributes,,,,,Red Erect Algae,,,,,
Coccotylus truncatus,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,yes,Turf,yes,perennial,100-500 mm,yes,yes,yes,no,yes,subtidal,no,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145654#attributes,,,,,Red Erect Algae,,,,,
Cystoclonium purpureum,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,no ,Subcanopy,no,ephemeral (less than a year or annual),100-500 mm,yes,no,no,no,no,shared,yes,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145615#attributes,,,,,Red Erect Algae,,,,,
Dasysiphonia japonica,Rhodophyta,Algae,Red Algae,no,no,no,yes,no,no,no,no,yes,no,,,no ,no ,yes,Turf,yes,ephemeral (less than a year or annual),100-500 mm,yes,no,no,no,no,subtidal,no,yes,autotroph,primary producer,,"Algaebase, WoRMS",,,,,,Red Erect Algae,,,,,
Euthora cristata,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,no ,Subcanopy,no,perennial,10-100 mm,yes,yes,no,no,yes,shared,yes,yes,autotroph,primary producer,,,,,,,,Red Erect Algae,,,,,
Mastocarpus stellatus,Rhodophyta,Algae,Red Algae,yes,no,no,no,yes,no,no,no,yes,no,yes,non-calcareous,no ,yes,no ,Subcanopy,yes,perennial,100-500 mm,yes,yes,yes,no,yes,shared,yes,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145650#attributes,,,,,Red Erect Algae,,,,,
Palmaria palmata,Rhodophyta,Algae,Red Algae,yes,yes,yes,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,no ,Subcanopy,no,perennial,100-500 mm,yes,yes,no,no,yes,shared,yes,yes,autotroph,primary producer,very high (>15 cm/year),https://www.algaebase.org/search/species/detail/?species_id=1&sk=0&from=results; https://www.marlin.ac.uk/species/detail/1405,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145771#attributes,,,,,Red Erect Algae,,,,,
Phycodrys rubens,Rhodophyta,Algae,Red Algae,yes,no,yes,yes,no,no,no,no,yes,no,,non-calcareous,no ,yes,no ,Subcanopy,no,perennial,100-500 mm,yes,no,no,no,no,subtidal,no,yes,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144773#attributes,,,,,Red Erect Algae,,,,,
Polyides rotunda,Rhodophyta,Algae,Red Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,no ,yes,Turf,no,perennial,100-500 mm,yes,no,no,no,no,subtidal,no,yes,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145668#attributes,,,,,Red Erect Algae,,,,,
Polysiphonia,Rhodophyta,Algae,Red Algae,yes,no,no,yes,no,no,no,no,yes,no,,non-calcareous,yes,yes,yes,Turf,yes,perennial,,yes,yes,yes,no,yes,shared,yes,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=143853#attributes,,,,,Red Erect Algae,,,,,
Porphyra,Rhodophyta,Algae,Red Algae,,,,,,,,,,,,,,,,Turf,,,,,,,,,shared,yes,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=143808,,,,,Red Erect Algae,,,,,
Ptilota serrata,Rhodophyta,Algae,Red Algae,yes,no,no,yes,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,no ,Subcanopy,no,perennial,100-500 mm,yes,yes,no,no,yes,shared,yes,yes,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144687#attributes,,,,,Red Erect Algae,,,,,
Spermothamnion repens,Rhodophyta,Algae,Red Algae,yes,no,no,yes,no,no,no,no,yes,no,,non-calcareous,no ,no ,yes,Turf,no,perennial,10-100 mm,yes,yes,yes,no,yes,subtidal,no,yes,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144702#attributes,,,,,Red Erect Algae,,,,,
