species,phylum,group,common_name_division_bgr,invasive_gom,erect_morphology_growth_form,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,,branched_external_morphology,saccate_external_morphology,potential_asexual_reproduction,autotroph,perennial_gom,size_categories,physical_defenses_calcification,space_use_canopy,space_use_sub_canopy,space_use_turf,space_use_canopy_gom,space_use_subcanopy_gom,space_use_turf_gom,space_use_crust,turf_subcanopy_canopy_algae,corticated_internal_anatomy,epilithic_env_position,epiphytic_env_position,epizoic_env_position,epibiotic_env_position_gom,intertidal_gom,subtidal_gom,area_gom,trophic_level,growth_rate,notes,Source,Wikipedia,,,refined_search,articulated_external_morphology,common_name_division,synonym,chemical_defenses,solitary_colonial,unattached_use_space,maximum_longevity,turf_encrusting_space_use
Cystoclonium purpureum,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145615#attributes,,,,,no,Red Erect Algae,,,,,perennial (one-ten years),
Dasysiphonia japonica,Rhodophyta,Algae,Red Algae,yes,yes,no,yes,no,no,no,,yes,no,yes,yes,yes,100-500 mm,,no ,no ,yes,no ,no ,yes,no ,Turf,no,yes,yes,yes,yes,no,yes,subtidal,primary producer,,"Algaebase, WoRMS",,,,,,no,Red Erect Algae,,,,,perennial (one-ten years),
Desmarestia aculeata,Ochrophyta,Algae,Brown Algae,no,yes,no,yes,no,no,no,,yes,no,no,yes,no,>500 mm,non-calcareous,yes,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,no,yes,subtidal,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145307#attributes,,,,,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Desmarestia viridis,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,no,>500 mm,non-calcareous,yes,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,no,yes,subtidal,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145310#attributes,,,,,no,Brown Algae,,yes,,yes,ephemeral (less than a year or annual),no 
Dumontia contorta,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145228#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Elachista fucicola,Ochrophyta,Algae,Brown Algae,no,yes,no,yes,no,no,no,,no,no,yes,yes,yes,10-100 mm,non-calcareous,no ,yes,yes,no ,no ,yes,no ,Turf,no,no,yes,no,yes,yes,no,intertidal,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144937#attributes,,,,,no,Brown Algae,,,,no,perennial,no 
Euthora cristata,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,10-100 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,yes,yes,yes,yes,shared,primary producer,,,,,,,,no,Red Erect Algae,,,,,perennial,
Fucus,Ochrophyta,Algae,Brown Algae,no,,no,no,no,no,yes,,yes,no,no,yes,yes,,non-calcareous,yes,yes,no ,yes,yes,no ,no ,Canopy/Subcanopy,yes,yes,no,no,no,yes,no,intertidal,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144129&allchildren=1#attributes,,,,,no,Brown Algae,,,,no,perennial (one-ten years),no 
Fucus distichus,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,yes,no,no,yes,yes,100-500 mm,non-calcareous,yes,yes,no ,yes,yes,no ,no ,Canopy/Subcanopy,yes,yes,no,no,no,yes,no,intertidal,primary producer,high (5-15 cm/year),,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145544#attributes,,,,,no,Brown Algae,,,,no,perennial (one-ten years),no 
Fucus vesiculosus,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,yes,no,no,yes,yes,>500 mm,non-calcareous,yes,yes,no ,yes,yes,no ,no ,Canopy/Subcanopy,yes,yes,no,no,no,yes,no,intertidal,primary producer,very high (>15 cm/year),,,,,,,no,Brown Algae,Fucus vesiculosus var. spiralis,,,no,perennial (one-ten years),no 
Halosiphon tomentosus,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,no,>500 mm,non-calcareous,yes,yes,no ,yes,yes,no ,no ,Canopy/Subcanopy,yes,yes,no,no,no,no,yes,subtidal,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145723#attributes,,,,,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Hildenbrandia rubra,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,no,no,,no,no,yes,yes,yes,100-500 mm,non-calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,yes,no,yes,yes,yes,yes,shared,primary producer,extreme slow (<1cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145712,,,,,no,Red Crust Algae,,,,no,perennial,yes
Laminaria digitata,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,no,no,yes,yes,yes,>500 mm,non-calcareous,yes,no ,yes,yes,no ,no ,no ,Canopy,yes,yes,no,no,no,yes,yes,shared,primary producer,very high (>15 cm/year),BIOTIC/marlin,,WoRMS has weird numbers,,,,no,Brown Algae,,yes,,no,perennial (one-ten years),no 
Leathesia marina,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,yes,no,,no,yes,yes,yes,no,10-100 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,yes,no,yes,yes,yes,shared,primary producer,,,,,,,,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Leptophytum acervatum,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,no,no,,no,no,yes,yes,yes,,calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,yes,no,no,no,yes,no,intertidal,primary producer,,It is a south African algae ? is it correct that is in our data set,"Algaebase, WoRMS",,,,https://www.researchgate.net/publication/269893410_Three_melobesioid_crustose_coralline_red_algae_from_South_Africa_Leptophytum_acervatum_Foslie_comb_nov_L_foveatum_sp_nov_and_L_ferox_Foslie_comb_nov,no,Red Coralline Algae,,,,no,perennial,yes
Lithophyllum ,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,,no,,no,no,,yes,yes,,calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,,,,no,yes,yes,shared,primary producer,extreme slow (<1cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144016#attributes,,,,,no,Red Coralline Algae,,,,,perennial (one-ten years),yes
Lithothamnion,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,no,no,,no,no,,yes,yes,,calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,,,,no,yes,yes,shared,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=375853#attributes,,,,,no,Red Coralline Algae,"Mesophyllum crassiusculum (Foslie) Lebednik, 2004",,,,perennial (one-ten years),yes
Mastocarpus stellatus,Rhodophyta,Algae,Red Algae,no,yes,no,no,yes,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145650#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Palmaria palmata,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,very high (>15 cm/year),https://www.algaebase.org/search/species/detail/?species_id=1&sk=0&from=results; https://www.marlin.ac.uk/species/detail/1405,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145771#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Petalonia fascia,Ochrophyta,Algae,Brown Algae,no,yes,no,no,yes,no,no,,no,no,yes,yes,no,100-500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,no,intertidal,primary producer,very high (>15 cm/year),,,,,,https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/cryptogamie-algologie2013v33f1a1.pdf,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Phycodrys rubens,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144773#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Phymatolithon lenormandii,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,no,no,,no,no,yes,yes,yes,10-100 mm,calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,yes,yes,yes,yes,yes,yes,shared,primary producer,extreme slow (<1cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145202#attributes,,,,,no,Red Coralline Algae,,,,no,perennial,yes
Plumaria plumosa,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,no ,no ,yes,no ,no ,yes,no ,Turf,yes,yes,yes,no,yes,yes,yes,shared,primary producer,,,,,,,,no,Red Erect Algae,,,,no,perennial,no 
Polyides rotunda,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,no ,yes,no ,yes,yes,no ,Subcanopy/Turf,yes,yes,no,no,no,yes,yes,shared,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145668#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Polysiphonia,Rhodophyta,Algae,Red Algae,yes/no,yes,no,yes,no,no,no,,yes,no,yes,yes,yes,,non-calcareous,yes,yes,yes,no ,no ,yes,no ,Turf,no,yes,yes,yes,yes,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=143853#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Porphyra,Rhodophyta,Algae,Red Algae,no,yes,yes,no,,,,,,,,yes,yes,,,,,,no ,yes,no ,no ,Subcanopy,no,,,,,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=143808,,,,,,Red Erect Algae,,,,,ephemeral (less than a year or annual),
Prasiola stipitata,Chlorophyta,Algae,Green Algae,no,yes,yes,no,no,no,no,,no,no,yes,yes,yes,up to 10 mm,non-calcareous,no ,no ,yes,no ,no ,yes,no ,Turf,no,yes,no,no,no,yes,no,intertidal,primary producer,,"Common in northwest Europe, North Cape south to Gibraltar. Iceland, Faeroes; Newfoundland.  {associated with bird rookeries where guano provides high concentrations of nitrogenous compounds}",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145800#attributes,,,,,no,Green Algae,,,,no,ephemeral (less than a year or annual),no 
Ptilota serrata,Rhodophyta,Algae,Red Algae,no,yes,no,yes,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,yes,no,yes,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144687#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Pylaiella littoralis,Ochrophyta,Algae,Brown Algae,no,yes,no,yes,no,no,no,,yes,no,no,yes,no,100-500 mm,non-calcareous,no ,yes,yes,no ,no ,yes,no ,Turf,no,yes,yes,yes,yes,yes,no,intertidal,primary producer,,,,,,,,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Saccharina latissima,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,yes,no,no,yes,yes,>500 mm,non-calcareous,yes,no ,yes,yes,no ,no ,no ,Canopy,yes,yes,no,no,no,yes,yes,shared,primary producer,very high (>15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234483#attributes,,,,,no,Brown Algae,,,,no,perennial,no 
Saccorhiza dermatodea,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,yes,no,no,yes,no,>500 mm,non-calcareous,yes,no ,yes,yes,no ,no ,no ,Canopy,yes,yes,no,no,no,no,yes,subtidal,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145734#attributes,,,,,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Scytosiphon lomentaria,Ochrophyta,Algae,Brown Algae,no,yes,no,no,yes,no,no,,no,yes,yes,yes,yes,100-500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,extreme slow (<1cm/year),,,,,,,no,Brown Algae,,,,no,perennial (one-ten years),no 
Spermothamnion repens,Rhodophyta,Algae,Red Algae,no,yes,no,yes,no,no,no,,yes,no,no,yes,yes,10-100 mm,non-calcareous,no ,no ,yes,no ,no ,yes,no ,Turf,no,yes,yes,yes,yes,yes,yes,shared,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144702#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Sphacelaria cirrosa,Ochrophyta,Algae,Brown Algae,no,yes,no,yes,no,no,no,,yes,no,yes,yes,yes,10-100 mm,non-calcareous,no ,no ,yes,no ,no ,yes,no ,Turf,no,yes,yes,no,yes,yes,yes,intertidal,primary producer,,,,,,,,no,Brown Algae,Sphacelaria,,,no,perennial,no 
Spongomorpha aeruginosa,Chlorophyta,Algae,Green Algae,no,yes,no,yes,no,no,no,,yes,no,yes,yes,no,10-100 mm,non-calcareous,no ,yes,no ,no ,no ,yes,no ,Turf,no,yes,yes,no,yes,yes,yes,intertidal,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144413#attributes,,,,,no,Green Algae,,,,no,ephemeral (less than a year or annual),no 
Titanoderma,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,no,no,,no,no,yes,yes,yes,,calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,yes,yes,yes,yes,no,yes,subtidal,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144027#attributes,,,,,no,Red Coralline Algae,,,,no,perennial,yes
Ulva intestinalis,Chlorophyta,Algae,Green Algae,no,yes,yes,no,no,no,no,,no,no,yes,yes,no,100-500 mm,non-calcareous,yes,yes,yes,no ,yes,no ,no,Subcanopy,no,yes,yes,yes,yes,yes,yes,shared,primary producer,very high (>15 cm/year),,,,,,,no,Green Algae,,,,yes,ephemeral (less than a year or annual),no 
Ulva lactuca,Chlorophyta,Algae,Green Algae,no,yes,yes,no,no,no,no,,no,no,yes,yes,no,100-500 mm,non-calcareous,yes,yes,yes,no ,yes,no ,no,Subcanopy,no,yes,yes,yes,yes,yes,yes,shared,primary producer,very high (>15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145984#attributes,,,,,no,Green Algae,,,,yes,ephemeral (less than a year or annual),no 
Vertebrata lanosa,Rhodophyta,Algae,Red Algae,no,yes,no,yes,no,no,no,,yes,no,no,yes,yes,10-100 mm,non-calcareous,no ,yes,yes,no ,no ,yes,no,Turf,no,yes,yes,no,yes,yes,no,intertidal,primary producer,,,,,,,,no,Red Erect Algae,,,,no,perennial,no 
