"","query","kingdom","phylum","class","order"
"44","Acrosiphonia","Plantae","Chlorophyta","Ulvophyceae","Ulotrichales"
"45","Protectocarpus speciosus","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales"
"46","Bugula neritina","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida"
"47","Cladostephus spongiosus ","Chromista","Ochrophyta","Phaeophyceae","Sphacelariales"
"48","Tricellaria","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida"
"49","Annelida","Animalia","Annelida",NA,NA
"50","Anurida maritima","Animalia","Arthropoda","Collembola","Poduromorpha"
"51","Platyhelminthes","Animalia","Platyhelminthes",NA,NA
"52","Halacarus","Animalia","Arthropoda","Arachnida","Trombidiformes"
"53","Hemigrapsus sanguineus","Animalia","Arthropoda","Malacostraca","Decapoda"
"54","Idotea balthica","Animalia","Arthropoda","Malacostraca","Isopoda"
"55","Lepidonotus","Animalia","Annelida","Polychaeta","Phyllodocida"
"56","Namanereis","Animalia","Annelida","Polychaeta","Phyllodocida"
"57","Micrura affinis","Animalia","Nemertea","Pilidiophora","Heteronemertea"
"58","Nematodes","Animalia","Arthropoda","Insecta","Coleoptera"
"59","Nemertea","Animalia","Nemertea",NA,NA
"60","Nudibranchia","Animalia","Mollusca","Gastropoda","Nudibranchia"
"61","Oligochaeta ","Plantae","Tracheophyta","Magnoliopsida","Asterales"
"62","Ophiopholis","Animalia","Echinodermata","Ophiuroidea","Amphilepidida"
"63","Pagurus acadianus","Animalia","Arthropoda","Malacostraca","Decapoda"
"64","Polychaeta (class in Lophotrochozoa)","Animalia","Annelida","Polychaeta",NA
"65","Notoplana","Animalia","Platyhelminthes",NA,"Polycladida"
"66","Acoela","Animalia","Xenacoelomorpha",NA,"Acoela"
"67","Turbellaria","Animalia","Platyhelminthes","Turbellaria",NA
"68","Gaidropsarus","Animalia","Chordata","Actinopterygii","Gadiformes"
"69","Colus stimpsoni","Animalia","Mollusca","Gastropoda","Neogastropoda"
"70","Euplana","Animalia","Platyhelminthes",NA,"Polycladida"
"71","Nicolea","Animalia","Annelida","Polychaeta",NA
"72","Celleporella hyalina","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida"
"73","Aplidium","Animalia","Chordata","Ascidiacea","Aplousobranchia"
"74","Mya arenaria","Animalia","Mollusca","Bivalvia","Myida"
"75","Cirratulus","Animalia","Annelida","Polychaeta",NA
"76","Molgula","Animalia","Chordata","Ascidiacea","Stolidobranchia"
"77","Culicoides","Animalia","Arthropoda","Insecta","Diptera"
"78","Praunus","Animalia","Arthropoda","Malacostraca","Mysida"
"79","Dendrodoa","Animalia","Chordata","Ascidiacea","Stolidobranchia"
"80","Cancer","Animalia","Arthropoda","Malacostraca","Decapoda"
"81","Flabellina ","Animalia","Mollusca","Gastropoda","Nudibranchia"
"82","Foviella","Animalia","Platyhelminthes",NA,"Tricladida"
"83","Thelepus cincinnatus","Animalia","Annelida","Polychaeta",NA
"84","Skeneopsis planorbis","Animalia","Mollusca","Gastropoda","Littorinimorpha"
"85","Onchidoris","Animalia","Mollusca","Gastropoda","Nudibranchia"
"86","Grammaria","Animalia","Cnidaria","Hydrozoa","Leptothecata"
"87","Dendronotus","Animalia","Mollusca","Gastropoda","Nudibranchia"
"88","Cerianthus","Animalia","Cnidaria","Anthozoa",NA
"89","Astyris lunata","Animalia","Mollusca","Gastropoda","Neogastropoda"
"90","Flustrellidra hispida","Animalia","Bryozoa","Gymnolaemata","Ctenostomatida"
