Year,Transect,Position,Organism
1982,11,exposed,Mytilus edulis
1982,11,exposed,Ascophyllum nodosum
1982,11,exposed,Chondrus crispus
1982,11,exposed,Mastocarpus stellatus
1982,11,exposed,Clathromorphum circumscriptum
1982,13,exposed,Cyanobacteria
1982,13,exposed,Prasiola stipitata
1982,13,exposed,Semibalanus balanoides
1982,13,exposed,Fucus vesiculosus var. spiralis
1982,13,exposed,Hildenbrandia rubra
1982,13,exposed,Mytilus edulis
1982,13,exposed,Phymatolithon lenormandii
1982,13,exposed,Ascophyllum nodosum
1982,13,exposed,Mastocarpus stellatus
1982,13,exposed,Chondrus crispus
1982,15,exposed,Semibalanus balanoides
1982,15,exposed,Hildenbrandia rubra
1982,15,exposed,Mytilus edulis
1982,17,exposed,Cyanobacteria
1982,17,exposed,Fucus vesiculosus var. spiralis
1982,17,exposed,Fucus vesiculosus
1982,17,exposed,Hildenbrandia rubra
1982,17,exposed,Mytilus edulis
1982,17,exposed,Chondrus crispus
1982,17,exposed,Mastocarpus stellatus
1982,17,exposed,Phymatolithon lenormandii
1982,18,exposed,Cyanobacteria
1982,18,exposed,Mytilus edulis
1982,18,exposed,Hildenbrandia rubra
1982,18,exposed,Ralfsia 
1982,18,exposed,Phymatolithon lenormandii
1982,20,exposed,Prasiola stipitata
1982,20,exposed,Fucus distichus
1982,22,exposed,Semibalanus balanoides
1982,22,exposed,Mytilus edulis
1982,22,exposed,Modiolus modiolus
1982,24,exposed,Ascophyllum nodosum
1982,24,exposed,Fucus vesiculosus var. spiralis
1982,24,exposed,Hildenbrandia rubra
1982,24,exposed,Semibalanus balanoides
1982,24,exposed,Chondrus crispus
1982,24,exposed,Fucus 
1982,24,exposed,Fucus 
1982,24,exposed,Fucus distichus
1982,24,exposed,Corallina officinalis
1982,24,exposed,Corallina 
1982,24,exposed,Phymatolithon lenormandii
1982,26,sheltered,Hildenbrandia rubra
1982,26,sheltered,Verrucaria 
1982,26,sheltered,Cryptosula pallasiana
1982,28,sheltered,Prasiola stipitata
1982,28,sheltered,Ulva intestinalis
1982,28,sheltered,Hildenbrandia rubra
1982,28,sheltered,Semibalanus balanoides
1982,28,sheltered,Corallina 
1982,28,sheltered,Phymatolithon lenormandii
1982,28,sheltered,Ralfsia 
1982,28,sheltered,Cryptosula pallasiana
1983,1,sheltered,Cyanobacteria
1983,1,sheltered,Ascophyllum nodosum
1983,1,sheltered,Hildenbrandia rubra
1983,1,sheltered,Mytilus edulis
1983,1,sheltered,Ralfsia 
1983,1,sheltered,Semibalanus balanoides
1983,1,sheltered,Chondrus crispus
1983,1,sheltered,Fucus vesiculosus
1983,1,sheltered,Mastocarpus stellatus
1983,2,sheltered,Prasiola stipitata
1983,2,sheltered,Semibalanus balanoides
1983,2,sheltered,Chondrus crispus
1983,2,sheltered,Fucus vesiculosus
1983,2,sheltered,Hildenbrandia rubra
1983,2,sheltered,Mastocarpus stellatus
1983,2,sheltered,Verrucaria 
1983,2,sheltered,Ascophyllum nodosum
1983,2,sheltered,Modiolus modiolus
1983,2,sheltered,Ulva lactuca
1983,2,sheltered,Fucus 
1983,2,sheltered,Mytilus edulis
1983,2,sheltered,Plumaria plumosa
1983,2,sheltered,Palmaria palmata
1983,5,sheltered,Prasiola stipitata
1983,5,sheltered,Semibalanus balanoides
1983,5,sheltered,Ascophyllum nodosum
1983,5,sheltered,Fucus distichus
1983,5,sheltered,Hildenbrandia rubra
1983,5,sheltered,Modiolus modiolus
1983,5,sheltered,Chondrus crispus
1983,5,sheltered,Corallina 
1983,5,sheltered,Fucus vesiculosus
1983,5,sheltered,Phymatolithon lenormandii
1983,5,sheltered,Verrucaria 
1983,5,sheltered,Corallina officinalis
1983,5,sheltered,Mastocarpus stellatus
1983,7,sheltered,Hildenbrandia rubra
1983,7,sheltered,Semibalanus balanoides
1983,7,sheltered,Ascophyllum nodosum
1983,7,sheltered,Chondrus crispus
1983,7,sheltered,Fucus 
1983,7,sheltered,Fucus vesiculosus
1983,7,sheltered,Mytilus edulis
1983,7,sheltered,Fucus distichus
1983,7,sheltered,Cryptosula pallasiana
1983,7,sheltered,Corallina officinalis
1983,7,sheltered,Modiolus modiolus
1983,7,sheltered,Saccharina latissima
1983,8,sheltered,Cyanobacteria
1983,8,sheltered,Ascophyllum nodosum
1983,8,sheltered,Fucus 
1983,8,sheltered,Mastocarpus stellatus
1983,8,sheltered,Mytilus edulis
1983,8,sheltered,Semibalanus balanoides
1983,8,sheltered,Chondrus crispus
1983,8,sheltered,Phymatolithon lenormandii
1983,8,sheltered,Corallina officinalis
1983,8,sheltered,Fucus distichus
1983,8,sheltered,Mastocarpus stellatus
1983,8,sheltered,Modiolus modiolus
1983,8,sheltered,Sphacelaria cirrosa 
1983,8,sheltered,Saccharina latissima
1983,8,sheltered,Hincksia granulosa
1983,10,exposed,Cyanobacteria
1983,10,exposed,Fucus vesiculosus var. spiralis
1983,10,exposed,Hildenbrandia rubra
1983,10,exposed,Semibalanus balanoides
1983,10,exposed,Ascophyllum nodosum
1983,10,exposed,Fucus 
1983,10,exposed,Mastocarpus stellatus
1983,10,exposed,Prasiola stipitata
1983,10,exposed,Cryptosula pallasiana
1983,10,exposed,Phymatolithon lenormandii
1983,10,exposed,Ulva lactuca
1983,10,exposed,Mastocarpus stellatus
1983,10,exposed,Mytilus edulis
1983,10,exposed,Chondrus crispus
1983,10,exposed,Modiolus modiolus
1983,10,exposed,Corallina officinalis
1983,11,exposed,Prasiola stipitata
1983,11,exposed,Cyanobacteria
1983,11,exposed,Ascophyllum nodosum
1983,11,exposed,Hildenbrandia rubra
1983,11,exposed,Semibalanus balanoides
1983,11,exposed,Fucus vesiculosus var. spiralis
1983,11,exposed,Mastocarpus stellatus
1983,11,exposed,Mytilus edulis
1983,11,exposed,Phymatolithon lenormandii
1983,11,exposed,Chondrus crispus
1983,11,exposed,Corallina officinalis
1983,13,exposed,Cyanobacteria
1983,13,exposed,Semibalanus balanoides
1983,13,exposed,Fucus vesiculosus
1983,13,exposed,Mytilus edulis
1983,13,exposed,Ulva lactuca
1983,13,exposed,Mastocarpus stellatus
1983,13,exposed,Ascophyllum nodosum
1983,13,exposed,Chondrus crispus
1983,13,exposed,Hildenbrandia rubra
1983,13,exposed,Corallina officinalis
1983,13,exposed,Alaria esculenta
1983,13,exposed,Ceramium virgatum
1983,15,exposed,Mytilus edulis
1983,15,exposed,Semibalanus balanoides
1983,15,exposed,Fucus vesiculosus var. spiralis
1983,15,exposed,Hildenbrandia rubra
1983,15,exposed,Chondrus crispus
1983,15,exposed,Polysiphonia
1983,15,exposed,Mastocarpus stellatus
1983,15,exposed,Corallina officinalis
1983,17,exposed,Cyanobacteria
1983,17,exposed,Fucus distichus
1983,17,exposed,Ulva intestinalis
1983,17,exposed,Semibalanus balanoides
1983,17,exposed,Hildenbrandia rubra
1983,17,exposed,Chondrus crispus
1983,17,exposed,Mytilus edulis
1983,18,exposed,Cyanobacteria
1983,18,exposed,Mytilus edulis
1983,18,exposed,Semibalanus balanoides
1983,18,exposed,Ascophyllum nodosum
1983,18,exposed,Hildenbrandia rubra
1983,18,exposed,Mastocarpus stellatus
1983,18,exposed,Fucus distichus
1983,18,exposed,Phymatolithon lenormandii
1983,18,exposed,Chondrus crispus
1983,18,exposed,Ulva lactuca
1983,18,exposed,Modiolus modiolus
1983,18,exposed,Corallina officinalis
1983,20,exposed,Semibalanus balanoides
1983,20,exposed,Fucus vesiculosus var. spiralis
1983,20,exposed,Mytilus edulis
1983,20,exposed,Hildenbrandia rubra
1983,20,exposed,Chondrus crispus
1983,20,exposed,Ceramium virgatum
1983,20,exposed,Mastocarpus stellatus
1983,20,exposed,Alaria esculenta
1983,20,exposed,Corallina 
1983,20,exposed,Mastocarpus stellatus
1983,20,exposed,Phymatolithon lenormandii
1983,20,exposed,Polysiphonia
1983,22,exposed,Semibalanus balanoides
1983,22,exposed,Mytilus edulis
1983,22,exposed,Hildenbrandia rubra
1983,22,exposed,Verrucaria 
1983,22,exposed,Ascophyllum nodosum
1983,22,exposed,Fucus distichus
1983,22,exposed,Porphyra
1983,22,exposed,Ceramium virgatum
1983,22,exposed,Chondrus crispus
1983,22,exposed,Alaria esculenta
1983,22,exposed,Mastocarpus stellatus
1983,23,exposed,Cyanobacteria
1983,23,exposed,Hildenbrandia rubra
1983,23,exposed,Mytilus edulis
1983,23,exposed,Semibalanus balanoides
1983,23,exposed,Chondrus crispus
1983,23,exposed,Fucus vesiculosus var. spiralis
1983,23,exposed,Mastocarpus stellatus
1983,23,exposed,Ceramium virgatum
1983,23,exposed,Mastocarpus stellatus
1983,23,exposed,Polysiphonia
1983,23,exposed,Modiolus modiolus
1983,23,exposed,Phymatolithon lenormandii
1983,24,exposed,Prasiola stipitata
1983,24,exposed,Semibalanus balanoides
1983,24,exposed,Fucus 
1983,24,exposed,Fucus vesiculosus
1983,24,exposed,Hildenbrandia rubra
1983,24,exposed,Ascophyllum nodosum
1983,24,exposed,Chondrus crispus
1983,24,exposed,Mastocarpus stellatus
1983,24,exposed,Mytilus edulis
1983,24,exposed,Verrucaria 
1983,24,exposed,Corallina 
1983,24,exposed,Phymatolithon lenormandii
1983,24,exposed,Ulva lactuca
1983,24,exposed,Fucus distichus
1983,24,exposed,Modiolus modiolus
1983,24,exposed,Cryptosula pallasiana
1983,24,exposed,Ulva intestinalis
1983,24,exposed,Ahnfeltia plicata
1983,24,exposed,Ceramium virgatum
1983,24,exposed,Chaetomorpha
1983,24,exposed,Corallina officinalis
1983,26,sheltered,Ascophyllum nodosum
1983,26,sheltered,Chondrus crispus
1983,26,sheltered,Fucus vesiculosus var. spiralis
1983,26,sheltered,Hildenbrandia rubra
1983,26,sheltered,Mastocarpus stellatus
1983,26,sheltered,Semibalanus balanoides
1983,26,sheltered,Corallina 
1983,26,sheltered,Modiolus modiolus
1983,26,sheltered,Mytilus edulis
1983,26,sheltered,Phymatolithon lenormandii
1983,26,sheltered,Cryptosula pallasiana
1983,26,sheltered,Corallina officinalis
1983,26,sheltered,Polysiphonia
1983,28,sheltered,Semibalanus balanoides
1983,28,sheltered,Ascophyllum nodosum
1983,28,sheltered,Cladophora
1983,28,sheltered,Fucus distichus
1983,28,sheltered,Hildenbrandia rubra
1983,28,sheltered,Corallina 
1983,28,sheltered,Mastocarpus stellatus
1983,28,sheltered,Mytilus edulis
1983,28,sheltered,Phymatolithon lenormandii
1983,28,sheltered,Chondrus crispus
1983,28,sheltered,Cryptosula pallasiana
1983,28,sheltered,Mastocarpus stellatus
1983,28,sheltered,Modiolus modiolus
1983,28,sheltered,Corallina officinalis
1984,1,sheltered,Prasiola stipitata
1984,1,sheltered,Cyanobacteria
1984,1,sheltered,Ascophyllum nodosum
1984,1,sheltered,Hildenbrandia rubra
1984,1,sheltered,Semibalanus balanoides
1984,1,sheltered,Verrucaria 
1984,1,sheltered,Fucus vesiculosus
1984,1,sheltered,Fucus 
1984,1,sheltered,Phymatolithon lenormandii
1984,1,sheltered,Ralfsia 
1984,1,sheltered,Mastocarpus stellatus
1984,1,sheltered,Mastocarpus stellatus
1984,1,sheltered,Chondrus crispus
1984,2,sheltered,Prasiola stipitata
1984,2,sheltered,Fucus vesiculosus var. spiralis
1984,2,sheltered,Hildenbrandia rubra
1984,2,sheltered,Semibalanus balanoides
1984,2,sheltered,Ectocarpus
1984,2,sheltered,Fucus vesiculosus
1984,2,sheltered,Mastocarpus stellatus
1984,2,sheltered,Verrucaria 
1984,2,sheltered,Corallina officinalis
1984,2,sheltered,Fucus 
1984,2,sheltered,Mytilus edulis
1984,2,sheltered,Ulva lactuca
1984,2,sheltered,Chondrus crispus
1984,2,sheltered,Fucus 
1984,2,sheltered,Chaetomorpha ligustica
1984,2,sheltered,Ulva intestinalis
1984,7,sheltered,Prasiola stipitata
1984,7,sheltered,Semibalanus balanoides
1984,7,sheltered,Ascophyllum nodosum
1984,7,sheltered,Fucus distichus
1984,7,sheltered,Hildenbrandia rubra
1984,7,sheltered,Mytilus edulis
1984,7,sheltered,Polysiphonia
1984,7,sheltered,Ceramium virgatum
1984,7,sheltered,Chondrus crispus
1984,7,sheltered,Fucus vesiculosus
1984,7,sheltered,Ulva lactuca
1984,7,sheltered,Cryptosula pallasiana
1984,7,sheltered,Modiolus modiolus
1984,7,sheltered,Corallina officinalis
1984,10,exposed,Verrucaria 
1984,10,exposed,Prasiola stipitata
1984,10,exposed,Semibalanus balanoides
1984,10,exposed,Ascophyllum nodosum
1984,10,exposed,Ascophyllum nodosum
1984,10,exposed,Fucus 
1984,10,exposed,Fucus vesiculosus var. spiralis
1984,10,exposed,Hildenbrandia rubra
1984,10,exposed,Fucus 
1984,10,exposed,Fucus distichus
1984,10,exposed,Mytilus edulis
1984,10,exposed,Erythrotrichia carnea
1984,10,exposed,Fucus vesiculosus
1984,10,exposed,Hincksia granulosa
1984,10,exposed,Mastocarpus stellatus
1984,10,exposed,Phymatolithon lenormandii
1984,10,exposed,Pylaiella littoralis
1984,10,exposed,Ulva lactuca
1984,10,exposed,Chondrus crispus
1984,10,exposed,Corallina officinalis
1984,10,exposed,Cryptosula pallasiana
1984,10,exposed,Chaetomorpha ligustica
1984,10,exposed,Ceramium virgatum
1984,10,exposed,Leathesia marina
1984,10,exposed,Ralfsia 
1984,10,exposed,Spongomorpha aeruginosa
1984,11,exposed,Cyanobacteria
1984,11,exposed,Prasiola stipitata
1984,11,exposed,Ascophyllum nodosum
1984,11,exposed,Hildenbrandia rubra
1984,11,exposed,Semibalanus balanoides
1984,11,exposed,Verrucaria 
1984,11,exposed,Fucus vesiculosus
1984,11,exposed,Chondrus crispus
1984,11,exposed,Lithophyllum
1984,11,exposed,Mastocarpus stellatus
1984,13,exposed,Cyanobacteria
1984,13,exposed,Semibalanus balanoides
1984,13,exposed,Fucus 
1984,13,exposed,Mytilus edulis
1984,13,exposed,Ascophyllum nodosum
1984,13,exposed,Chondrus crispus
1984,13,exposed,Hildenbrandia rubra
1984,13,exposed,Mastocarpus stellatus
1984,13,exposed,Corallina officinalis
1984,13,exposed,Alaria esculenta
1984,15,exposed,Semibalanus balanoides
1984,15,exposed,Hildenbrandia rubra
1984,15,exposed,Mytilus edulis
1984,15,exposed,Ceramium virgatum
1984,15,exposed,Fucus 
1984,15,exposed,Fucus distichus
1984,15,exposed,Ulva lactuca
1984,15,exposed,Mastocarpus stellatus
1984,15,exposed,Chondrus crispus
1984,18,exposed,Prasiola stipitata
1984,18,exposed,Cyanobacteria
1984,18,exposed,Verrucaria 
1984,18,exposed,Semibalanus balanoides
1984,18,exposed,Mytilus edulis
1984,18,exposed,Ascophyllum nodosum
1984,18,exposed,Ascophyllum nodosum
1984,18,exposed,Fucus 
1984,18,exposed,Fucus distichus
1984,18,exposed,Hildenbrandia rubra
1984,18,exposed,Mastocarpus stellatus
1984,18,exposed,Mastocarpus stellatus
1984,18,exposed,Modiolus modiolus
1984,18,exposed,Fucus 
1984,18,exposed,Audouinella 
1984,18,exposed,Chondrus crispus
1984,18,exposed,Chondrus crispus
1984,18,exposed,Ulva lactuca
1984,18,exposed,Ceramium virgatum
1984,20,exposed,Fucus 
1984,20,exposed,Hildenbrandia rubra
1984,20,exposed,Semibalanus balanoides
1984,20,exposed,Fucus 
1984,20,exposed,Fucus distichus
1984,20,exposed,Mytilus edulis
1984,20,exposed,Chondrus crispus
1984,20,exposed,Mastocarpus stellatus
1984,20,exposed,Corallina officinalis
1984,20,exposed,Mastocarpus stellatus
1984,20,exposed,Saccharina latissima
1984,22,exposed,Semibalanus balanoides
1984,22,exposed,Mytilus edulis
1984,22,exposed,Ralfsia 
1984,22,exposed,Fucus 
1984,22,exposed,Fucus distichus
1984,22,exposed,Chondrus crispus
1984,22,exposed,Mastocarpus stellatus
1984,22,exposed,Alaria esculenta
1984,24,exposed,Verrucaria 
1984,24,exposed,Semibalanus balanoides
1984,24,exposed,Fucus distichus
1984,24,exposed,Hildenbrandia rubra
1984,24,exposed,Mytilus edulis
1984,24,exposed,Corallina officinalis
1984,24,exposed,Fucus 
1984,24,exposed,Ulva lactuca
1984,24,exposed,Ascophyllum nodosum
1984,24,exposed,Ceramium virgatum
1984,24,exposed,Mastocarpus stellatus
1984,24,exposed,Spongomorpha aeruginosa
1984,24,exposed,Chondrus crispus
1984,24,exposed,Mastocarpus stellatus
1984,24,exposed,Porphyra
1984,26,sheltered,Semibalanus balanoides
1984,26,sheltered,Fucus 
1984,26,sheltered,Fucus distichus
1984,26,sheltered,Hildenbrandia rubra
1984,26,sheltered,Ascophyllum nodosum
1984,26,sheltered,Ascophyllum nodosum
1984,26,sheltered,Chondrus crispus
1984,26,sheltered,Fucus 
1984,26,sheltered,Fucus vesiculosus
1984,26,sheltered,Corallina 
1984,26,sheltered,Mastocarpus stellatus
1984,26,sheltered,Chondrus crispus
1984,26,sheltered,Verrucaria 
1984,26,sheltered,Corallina officinalis
1984,26,sheltered,Mastocarpus stellatus
1984,26,sheltered,Mytilus edulis
1984,26,sheltered,Chaetomorpha ligustica
1984,28,sheltered,Prasiola stipitata
1984,28,sheltered,Semibalanus balanoides
1984,28,sheltered,Fucus 
1984,28,sheltered,Fucus vesiculosus var. spiralis
1984,28,sheltered,Chondrus crispus
1984,28,sheltered,Halichondria
1984,28,sheltered,Mastocarpus stellatus
1984,28,sheltered,Ascophyllum nodosum
1984,28,sheltered,Corallina officinalis
1984,28,sheltered,Fucus 
1984,28,sheltered,Metridium dianthus
1984,28,sheltered,Mytilus edulis
1984,28,sheltered,Ulva lactuca
1984,28,sheltered,Modiolus modiolus
1984,28,sheltered,Anomia simplex
1984,28,sheltered,Chaetomorpha ligustica
1985,1,sheltered,Ascophyllum nodosum
1985,1,sheltered,Ascophyllum nodosum
1985,1,sheltered,Hildenbrandia rubra
1985,1,sheltered,Semibalanus balanoides
1985,1,sheltered,Verrucaria 
1985,1,sheltered,Cyanobacteria
1985,1,sheltered,Phymatolithon lenormandii
1985,1,sheltered,Chondrus crispus
1985,1,sheltered,Cryptosula pallasiana
1985,1,sheltered,Fucus vesiculosus
1985,1,sheltered,Mastocarpus stellatus
1985,1,sheltered,Ralfsia 
1985,1,sheltered,Fucus 
1985,1,sheltered,Prasiola stipitata
1985,1,sheltered,Fucus 
1985,2,sheltered,Modiolus modiolus
1985,2,sheltered,Corallina officinalis
1985,2,sheltered,Hildenbrandia rubra
1985,2,sheltered,Porphyra
1985,2,sheltered,Prasiola stipitata
1985,2,sheltered,Ascophyllum nodosum
1985,2,sheltered,Chondrus crispus
1985,2,sheltered,Mastocarpus stellatus
1985,2,sheltered,Plumaria plumosa
1985,5,sheltered,Arthopyrenia
1985,5,sheltered,Semibalanus balanoides
1985,5,sheltered,Ascophyllum nodosum
1985,5,sheltered,Corallina 
1985,5,sheltered,Hildenbrandia rubra
1985,5,sheltered,Verrucaria 
1985,5,sheltered,Chondrus crispus
1985,5,sheltered,Fucus vesiculosus var. spiralis
1985,5,sheltered,Metridium dianthus
1985,5,sheltered,Mytilus edulis
1985,7,sheltered,Ascophyllum nodosum
1985,7,sheltered,Elachista fucicola
1985,7,sheltered,Fucus distichus
1985,7,sheltered,Hildenbrandia rubra
1985,7,sheltered,Polysiphonia
1985,7,sheltered,Semibalanus balanoides
1985,7,sheltered,Verrucaria 
1985,7,sheltered,Corallina 
1985,7,sheltered,Fucus 
1985,7,sheltered,Chondrus crispus
1985,7,sheltered,Mytilus edulis
1985,7,sheltered,Chondrus crispus
1985,7,sheltered,Mastocarpus stellatus
1985,7,sheltered,Corallina officinalis
1985,7,sheltered,Ceramium virgatum
1985,7,sheltered,Chaetomorpha ligustica
1985,7,sheltered,Ulva lactuca
1985,8,sheltered,Arthopyrenia
1985,8,sheltered,Semibalanus balanoides
1985,8,sheltered,Verrucaria 
1985,8,sheltered,Fucus vesiculosus var. spiralis
1985,8,sheltered,Hildenbrandia rubra
1985,8,sheltered,Ascophyllum nodosum
1985,8,sheltered,Chondrus crispus
1985,8,sheltered,Corallina 
1985,8,sheltered,Elachista fucicola
1985,8,sheltered,Mastocarpus stellatus
1985,8,sheltered,Mytilus edulis
1985,8,sheltered,Polysiphonia
1985,8,sheltered,Ceramium virgatum
1985,8,sheltered,Fucus 
1985,8,sheltered,Chaetomorpha ligustica
1985,8,sheltered,Ulva lactuca
1985,8,sheltered,Chondrus crispus
1985,8,sheltered,Fucus distichus
1985,8,sheltered,Mastocarpus stellatus
1985,8,sheltered,Ulva intestinalis
1985,8,sheltered,Leathesia marina
1985,8,sheltered,Scytosiphon lomentaria 
1985,13,exposed,Ascophyllum nodosum
1985,13,exposed,Chondrus crispus
1985,13,exposed,Elachista fucicola
1985,13,exposed,Fucus distichus
1985,13,exposed,Hildenbrandia rubra
1985,13,exposed,Mastocarpus stellatus
1985,13,exposed,Mastocarpus stellatus
1985,13,exposed,Mytilus edulis
1985,13,exposed,Semibalanus balanoides
1985,13,exposed,Cladophora
1985,13,exposed,Corallina 
1985,13,exposed,Polysiphonia
1985,13,exposed,Ceramium virgatum
1985,14,exposed,Ascophyllum nodosum
1985,14,exposed,Hildenbrandia rubra
1985,14,exposed,Mastocarpus stellatus
1985,14,exposed,Mytilus edulis
1985,14,exposed,Semibalanus balanoides
1985,14,exposed,Verrucaria 
1985,14,exposed,Fucus distichus
1985,14,exposed,Phymatolithon lenormandii
1985,14,exposed,Fucus vesiculosus
1985,14,exposed,Chondrus crispus
1985,14,exposed,Modiolus modiolus
1985,17,exposed,Mytilus edulis
1985,17,exposed,Fucus 
1985,17,exposed,Ulva intestinalis
1985,17,exposed,Cyanobacteria
1985,17,exposed,Chondrus crispus
1985,17,exposed,Fucus distichus
1985,17,exposed,Ralfsia 
1985,17,exposed,Semibalanus balanoides
1985,17,exposed,Fucus vesiculosus var. spiralis
1985,17,exposed,Hildenbrandia rubra
1985,17,exposed,Verrucaria 
1985,18,exposed,Cyanobacteria
1985,18,exposed,Verrucaria 
1985,18,exposed,Semibalanus balanoides
1985,18,exposed,Ascophyllum nodosum
1985,18,exposed,Fucus distichus
1985,18,exposed,Hildenbrandia rubra
1985,18,exposed,Mastocarpus stellatus
1985,18,exposed,Mytilus edulis
1985,18,exposed,Phymatolithon lenormandii
1985,18,exposed,Chondrus crispus
1985,18,exposed,Ceramium virgatum
1985,18,exposed,Mastocarpus stellatus
1985,18,exposed,Ulva lactuca
1985,18,exposed,Chondrus crispus
1985,18,exposed,Mastocarpus stellatus
1985,19,exposed,Ascophyllum nodosum
1985,19,exposed,Chondrus crispus
1985,19,exposed,Fucus distichus
1985,19,exposed,Hildenbrandia rubra
1985,19,exposed,Mytilus edulis
1985,19,exposed,Semibalanus balanoides
1985,19,exposed,Verrucaria 
1985,19,exposed,Arthopyrenia
1985,19,exposed,Fucus 
1985,19,exposed,Ceramium virgatum
1985,19,exposed,Mastocarpus stellatus
1985,19,exposed,Mastocarpus stellatus
1985,19,exposed,Corallina officinalis
1985,22,exposed,Hildenbrandia rubra
1985,22,exposed,Mytilus edulis
1985,22,exposed,Semibalanus balanoides
1985,22,exposed,Verrucaria 
1985,22,exposed,Fucus distichus
1985,22,exposed,Chondrus crispus
1985,22,exposed,Corallina 
1985,22,exposed,Cladophora
1985,22,exposed,Diatoma
1985,22,exposed,Fucus 
1985,22,exposed,Mastocarpus stellatus
1985,23,exposed,Hildenbrandia rubra
1985,23,exposed,Mytilus edulis
1985,23,exposed,Semibalanus balanoides
1985,23,exposed,Verrucaria 
1985,23,exposed,Chondrus crispus
1985,23,exposed,Chondrus crispus
1985,23,exposed,Ceramium virgatum
1985,23,exposed,Elachista fucicola
1985,23,exposed,Fucus 
1985,23,exposed,Fucus 
1985,23,exposed,Mastocarpus stellatus
1985,23,exposed,Corallina 
1985,24,exposed,Hildenbrandia rubra
1985,24,exposed,Semibalanus balanoides
1985,24,exposed,Verrucaria 
1985,24,exposed,Fucus 
1985,24,exposed,Fucus vesiculosus var. spiralis
1985,24,exposed,Mytilus edulis
1985,24,exposed,Ascophyllum nodosum
1985,24,exposed,Ceramium virgatum
1985,24,exposed,Chondrus crispus
1985,24,exposed,Corallina 
1985,24,exposed,Fucus distichus
1985,24,exposed,Phymatolithon lenormandii
1985,24,exposed,Plumaria plumosa
1985,24,exposed,Ulva lactuca
1985,24,exposed,Cladophora
1985,24,exposed,Fucus vesiculosus
1985,24,exposed,Mastocarpus stellatus
1985,24,exposed,Mastocarpus stellatus
1985,24,exposed,Chaetomorpha ligustica
1985,24,exposed,Ulva intestinalis
1985,24,exposed,Polysiphonia
1985,24,exposed,Porphyra
1985,26,sheltered,Ascophyllum nodosum
1985,26,sheltered,Fucus vesiculosus
1985,26,sheltered,Hildenbrandia rubra
1985,26,sheltered,Semibalanus balanoides
1985,26,sheltered,Fucus 
1985,26,sheltered,Mastocarpus stellatus
1985,26,sheltered,Mytilus edulis
1985,26,sheltered,Chaetomorpha ligustica
1985,26,sheltered,Chondrus crispus
1985,26,sheltered,Corallina 
1985,26,sheltered,Saccharina latissima
1985,27,sheltered,Cyanobacteria
1985,27,sheltered,Verrucaria 
1985,27,sheltered,Ascophyllum nodosum
1985,27,sheltered,Chondrus crispus
1985,27,sheltered,Fucus distichus
1985,27,sheltered,Fucus vesiculosus
1985,27,sheltered,Hildenbrandia rubra
1985,27,sheltered,Phymatolithon lenormandii
1985,27,sheltered,Semibalanus balanoides
1985,27,sheltered,Chondrus crispus
1985,27,sheltered,Mytilus edulis
1985,27,sheltered,Ulva intestinalis
1985,27,sheltered,Modiolus modiolus
1985,27,sheltered,Ulva lactuca
1985,27,sheltered,Ceramium virgatum
1985,27,sheltered,Chaetomorpha
1985,27,sheltered,Mastocarpus stellatus
