"","NETWORK.x","PI.x","YEAR_MONTH_DAY_TRANSECT","YEAR.x","MONTH.x","DAY.x","SITE.x","TRANSECT.x","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES","BLADE_LENGTH_CM","WIDTH_CM","STIPE_LENGTH_CM","WET_WEIGHT","DRY_WEIGHT","PERCENT_COVER","NETWORK.y","PI.y","YEAR.y","MONTH.y","DAY.y","SITE.y","TRANSECT.y","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","START_DEPTH_M","END_DEPTH_M","TEMPERATURE_C","VISIBILITY_M"
"11","KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge",42.991161989,-70.618240982,42.991544036,-70.618120031,11.4,4.4,12,3
"12","KEEN ONE","Byrnes","2014_7_19_Broadway and 42nd",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd",42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
"13","KEEN ONE","Byrnes","2014_7_19_Broadway and 42nd",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd",42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
"14","KEEN ONE","Byrnes","2014_7_19_Broadway and 42nd",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd",42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
"15","KEEN ONE","Byrnes","2014_7_19_Broadway and 42nd",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd",42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
"16","KEEN ONE","Byrnes","2014_7_19_Broadway and 42nd",2014,7,19,"NE Appledore","Broadway and 42nd","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd",42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
"17","KEEN ONE","Byrnes","2014_7_19_South Pepperrell",2014,7,19,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",0,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"SW Appledore","South Pepperrell",42.985265991,-70.619861037,42.98562197,-70.619732961,10.3,8.3,11,2
"18","KEEN ONE","Byrnes","2014_7_19_North Pepperrell",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",10,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"SW Appledore","North Pepperrell",42.986057997,-70.619525006,42.985724984,-70.619615028,9.2,8.7,11,3
"19","KEEN ONE","Byrnes","2014_7_19_North Pepperrell",2014,7,19,"SW Appledore","North Pepperrell","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,19,"SW Appledore","North Pepperrell",42.986057997,-70.619525006,42.985724984,-70.619615028,9.2,8.7,11,3
"20","KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NE Appledore","Devil's Dance Floor",42.99306904,-70.613883985,42.99288473,-70.61373001,11.1,5,8,4
"21","KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","POVI",NA,NA,"10-50",38,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NE Appledore","Devil's Dance Floor",42.99306904,-70.613883985,42.99288473,-70.61373001,11.1,5,8,4
"22","KEEN ONE","Byrnes","2014_7_21_North Head",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head",42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
"23","KEEN ONE","Byrnes","2014_7_21_Magic 8 Ball",2014,7,21,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",86,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","Magic 8 Ball",42.991409004,-70.617746031,42.991715027,-70.617419975,6.3,6.7,NA,2.5
"24","KEEN ONE","Byrnes","2014_7_21_North Head",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head",42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
"25","KEEN ONE","Byrnes","2014_7_21_Magic 8 Ball",2014,7,21,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","Magic 8 Ball",42.991409004,-70.617746031,42.991715027,-70.617419975,6.3,6.7,NA,2.5
"26","KEEN ONE","Byrnes","2014_7_21_North Head",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head",42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
"27","KEEN ONE","Byrnes","2014_7_21_North Head",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head",42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
"28","KEEN ONE","Byrnes","2014_7_21_North Head",2014,7,21,"NW Appledore","North Head","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head",42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
"29","KEEN ONE","Byrnes","2016_8_8_Norwegian Cove",2016,8,8,"NE Appledore","Norwegian Cove","TAAD",NA,NA,"0-10",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Norwegian Cove",42.9906,-70.6115,42.9909,-70.6112,8.5,8.5,17,6
"30","KEEN ONE","Byrnes","2016_8_8_Broad Cove",2016,8,8,"NE Appledore","Broad Cove","TAAD",NA,NA,"0-10",63,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Broad Cove",42.9898,-70.6108,42.98962,-70.61039,3,8.2,18.6,6
"31","KEEN ONE","Byrnes","2016_8_8_Broad Cove",2016,8,8,"NE Appledore","Broad Cove","TAAD",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,8,"NE Appledore","Broad Cove",42.9898,-70.6108,42.98962,-70.61039,3,8.2,18.6,6
"32","KEEN ONE","Byrnes","2016_8_9_Broadway and 42nd",2016,8,9,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"0-10",31,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Broadway and 42nd",42.99184,-70.61057,42.99201,-70.61097,5.9,6.8,15,4
"33","KEEN ONE","Byrnes","2016_8_9_Devil's Dance Floor",2016,8,9,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"0-10",40,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Devil's Dance Floor",42.9976,-70.61309,42.99288,-70.61361,10,9.5,16,1.5
"34","KEEN ONE","Byrnes","2016_8_9_Broadway and 42nd",2016,8,9,"NE Appledore","Broadway and 42nd","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Broadway and 42nd",42.99184,-70.61057,42.99201,-70.61097,5.9,6.8,15,4
"35","KEEN ONE","Byrnes","2016_8_9_Devil's Dance Floor",2016,8,9,"NE Appledore","Devil's Dance Floor","TAAD",NA,NA,"10-50",6,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NE Appledore","Devil's Dance Floor",42.9976,-70.61309,42.99288,-70.61361,10,9.5,16,1.5
"36","KEEN ONE","Byrnes","2016_8_9_Sandpiper Beach",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"YOY",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"37","KEEN ONE","Byrnes","2016_8_9_Magic 8 Ball",2016,8,9,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"YOY",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Magic 8 Ball",42.99109,-70.61833,42.99122,-70.61819,7.4,8,12,3
"38","KEEN ONE","Byrnes","2016_8_9_Sandpiper Beach",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"0-10",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"39","KEEN ONE","Byrnes","2016_8_9_Magic 8 Ball",2016,8,9,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Magic 8 Ball",42.99109,-70.61833,42.99122,-70.61819,7.4,8,12,3
"40","KEEN ONE","Byrnes","2016_8_9_Sandpiper Beach",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"10-50",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"41","KEEN ONE","Byrnes","2016_8_9_Sandpiper Beach",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,"50-100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"42","KEEN ONE","Byrnes","2016_8_9_Sandpiper Beach",2016,8,9,"NW Appledore","Sandpiper Beach","NO_FISH",NA,NA,">100",0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,9,"NW Appledore","Sandpiper Beach",42.99021,-70.61878,42.98521,-70.61927,9.4,10,12,3
"43","KEEN ONE","Byrnes","2015_8_10_North Head",2015,8,10,"NW Appledore","North Head","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head",42.9929039161652,-70.6156041193753,42.9926791135221,-70.6161299161613,10.1,9.4,14,4
"44","KEEN ONE","Byrnes","2015_8_10_North Head",2015,8,10,"NW Appledore","North Head","POVI",NA,NA,"0-10",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head",42.9929039161652,-70.6156041193753,42.9926791135221,-70.6161299161613,10.1,9.4,14,4
"45","KEEN ONE","Byrnes","2015_8_10_Magic 8 Ball",2015,8,10,"NW Appledore","Magic 8 Ball","TAAD",NA,NA,"0-10",7,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Magic 8 Ball",42.991222590208,-70.6181925348937,42.9910713806748,-70.6186123844236,8.5,10,15.6,5
"46","KEEN ONE","Byrnes","2015_8_10_Larus Ledge",2015,8,10,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",11,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Larus Ledge",42.9908399563282,-70.6183599215,42.9907669499516,-70.6185852270573,10.3,8.9,15.6,2
"47","KEEN ONE","Byrnes","2015_8_10_North Head",2015,8,10,"NW Appledore","North Head","POVI",NA,NA,"10-50",12,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","North Head",42.9929039161652,-70.6156041193753,42.9926791135221,-70.6161299161613,10.1,9.4,14,4
"48","KEEN ONE","Byrnes","2015_8_10_Magic 8 Ball",2015,8,10,"NW Appledore","Magic 8 Ball","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Magic 8 Ball",42.991222590208,-70.6181925348937,42.9910713806748,-70.6186123844236,8.5,10,15.6,5
"49","KEEN ONE","Byrnes","2015_8_10_Larus Ledge",2015,8,10,"NW Appledore","Larus Ledge","POVI",NA,NA,"10-50",1,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2015,8,10,"NW Appledore","Larus Ledge",42.9908399563282,-70.6183599215,42.9907669499516,-70.6185852270573,10.3,8.9,15.6,2
"50","KEEN ONE","Byrnes","2016_8_10_South Pepperrell",2016,8,10,"SW Appledore","South Pepperrell","TAAD",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Pepperrell",42.98566,-70.61964,42.98521,-70.61927,5.5,4.6,16,3
"51","KEEN ONE","Byrnes","2016_8_10_South Pepperrell",2016,8,10,"SW Appledore","South Pepperrell","TAON",NA,NA,"YOY",17,80,"Fish","Chordates","Fish",NA,"Tautog or Blackfish","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","Tautoga onitis","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Pepperrell",42.98566,-70.61964,42.98521,-70.61927,5.5,4.6,16,3
"52","KEEN ONE","Byrnes","2016_8_10_North Smith's Cove",2016,8,10,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"YOY",52,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Smith's Cove",42.98505,-70.61876,42.984899,-70.618306,6.4,6.5,18,3
"53","KEEN ONE","Byrnes","2016_8_10_South Smith's Cove",2016,8,10,"SW Appledore","South Smith's Cove","TAAD",NA,NA,"YOY",9,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","South Smith's Cove",42.9845,-70.61809,42.98429,-70.61777,5.5,6.5,17.8,3
"54","KEEN ONE","Byrnes","2016_8_10_North Pepperrell",2016,8,10,"SW Appledore","North Pepperrell","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2016,8,10,"SW Appledore","North Pepperrell",42.98606,-70.61996,42.98543,-70.61961,9.3,8,15.5,3
