"","species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","steneck_dethier_morphology_algae","body_size_avg_bin","benthic","epibiotic","intertidal","subtidal"
"40","Dumontia contorta","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","no","yes","no","yes"
"41","Bonnemaisonia hamifera","Algae","Red Algae","Turf","filamentous","medium-large","yes","yes","yes","yes"
"42","Ceramium","Algae","Red Algae","Canopy","filamentous","medium-large","yes","yes","no","yes"
"43","Chondrus crispus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","yes","no","yes","yes"
"44","Coccotylus truncatus","Algae","Red Algae","Turf","corticated foliose","medium","yes","no","no","yes"
"45","Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","yes","no","yes","yes"
"46","Dasysiphonia japonica","Algae","Red Algae","Turf","filamentous","large","yes","no","no","yes"
"47","Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","yes","yes","yes","yes"
"48","Mastocarpus stellatus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","yes","no","yes","yes"
"49","Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","yes","yes","yes","yes"
"50","Phycodrys rubens","Algae","Red Algae","Subcanopy","foliose algae","medium","yes","no","no","yes"
"51","Polyides rotunda","Algae","Red Algae","Turf","corticated macrophyte","medium","yes","no","no","yes"
"52","Polysiphonia","Algae","Red Algae","Turf","filamentous","medium-large","yes","yes","yes","yes"
"53","Porphyra","Algae","Red Algae","Turf","foliose algae","large","yes","no","yes","yes"
"54","Ptilota serrata","Algae","Red Algae","Subcanopy","corticated macrophyte","medium-large","yes","no","yes","yes"
"55","Spermothamnion repens","Algae","Red Algae","Turf","filamentous","small-medium","yes","yes","no","yes"
